codgeo,libgeo,code_epci,n_gares,n_equipements,n_carreaux,pop_insee,pct_habitat_gare_3,pct_equipements_gare_3
68273,Riespach,200066041,0,5,31,608,0.0,0.0
68274,Rimbach-près-Guebwiller,246800569,0,2,3,28,0.0,0.0
68275,Rimbach-près-Masevaux,246800676,0,4,30,391,,
68276,Rimbachzell,246800569,0,2,7,146,0.0,0.0
68277,Riquewihr,246800577,0,9,27,966,,
68278,Rixheim,200066009,1,71,156,12798,99.99,100.0
68279,Roderen,200036465,0,7,30,957,14.21,0.0
68280,Rodern,246800577,0,1,10,348,,
68281,Roggenhouse,200066025,0,3,16,480,,
68282,Romagny,200066033,0,1,14,260,29.17,0.0
68283,Rombach-le-Franc,246800395,0,3,66,684,,
68284,Roppentzwiller,200066041,0,4,22,608,0.0,0.0
68285,Rorschwihr,246800577,0,1,12,376,,
68286,Rosenau,200066058,0,16,34,2005,56.96,0.0
68287,Rouffach,246800494,1,29,78,3804,99.84,100.0
68288,Ruederbach,200066041,0,2,13,242,0.0,0.0
68289,Ruelisheim,200066009,0,13,37,2058,0.0,0.0
68290,Rustenhart,200066025,0,6,34,946,,
68291,Rumersheim-le-Haut,200066025,0,6,29,1080,,
68292,Saint-Amarin,246800205,1,20,57,1971,100.0,100.0
68293,Saint-Cosme,200066033,0,1,5,56,0.0,0.0
68294,Sainte-Croix-aux-Mines,246800395,0,13,98,1373,,
68295,Sainte-Croix-en-Plaine,246800726,0,21,66,3008,0.2,0.0
68296,Saint-Hippolyte,246800577,0,11,30,912,,
68297,Saint-Louis,200066058,2,105,153,18095,100.0,100.0
68298,Sainte-Marie-aux-Mines,246800395,0,33,164,3792,,
68299,Saint-Ulrich,200066033,0,2,13,255,0.0,0.0
68300,Sausheim,200066009,0,73,83,4794,0.0,1.37
68301,Schlierbach,200066058,0,8,34,1178,0.0,0.0
68302,Schweighouse-Thann,200036465,0,4,28,767,0.0,0.0
68303,Schwoben,200066041,0,2,6,145,0.0,0.0
68304,Sentheim,246800676,0,12,30,1470,,
68305,Seppois-le-Bas,200066033,0,14,31,1192,0.0,0.0
68306,Seppois-le-Haut,200066033,0,5,13,407,0.0,0.0
68307,Sewen,246800676,0,4,26,468,,
68308,Sickert,246800676,0,4,14,236,,
68309,Sierentz,200066058,1,36,52,3844,100.0,100.0
68311,Sondernach,246800585,0,3,49,566,94.52,100.0
68312,Sondersdorf,200066041,0,1,19,337,0.0,0.0
68313,Soppe-le-Bas,246800676,0,7,25,748,,
68315,Soultz-Haut-Rhin,246800569,0,44,88,6210,0.05,0.0
68316,Soultzbach-les-Bains,246800585,0,5,16,624,99.36,100.0
68317,Soultzeren,246800585,0,7,86,1083,2.77,0.0
68318,Soultzmatt,246800569,0,15,61,2352,0.0,0.0
68320,Spechbach,200066041,0,11,50,1449,14.53,0.0
68321,Staffelfelden,200066009,1,17,58,3514,99.89,100.0
68322,Steinbach,200036465,0,5,24,1018,100.0,100.0
68323,Steinbrunn-le-Bas,200066009,0,3,28,832,0.0,0.0
68324,Steinbrunn-le-Haut,200066058,0,3,32,686,0.0,0.0
68325,Steinsoultz,200066041,0,3,27,718,0.0,0.0
68326,Sternenberg,200066033,0,2,13,156,0.0,0.0
68327,Stetten,200066058,0,3,14,332,0.0,0.0
68328,Storckensohn,246800205,0,1,14,178,29.3,0.0
68329,Stosswihr,246800585,0,9,65,1200,77.46,88.89
68330,Strueth,200066033,0,1,15,333,0.0,0.0
68331,Sundhoffen,246800726,0,12,44,2074,0.0,0.0
68332,Tagolsheim,200066041,0,6,22,880,100.0,100.0
68333,Tagsdorf,200066041,0,3,9,224,0.0,0.0
68334,Thann,200036465,3,48,77,7078,100.0,100.0
68335,Thannenkirch,246800577,0,5,26,447,,
68336,Traubach-le-Bas,200066033,0,7,24,476,0.0,0.0
68337,Traubach-le-Haut,200066033,0,5,25,656,0.0,0.0
68338,Turckheim,246800726,2,21,69,3758,99.79,95.24
68340,Ueberstrass,200066033,0,6,19,365,0.0,0.0
68341,Uffheim,200066058,0,2,20,878,100.0,100.0
68342,Uffholtz,200036465,0,11,31,1420,100.0,100.0
68343,Ungersheim,200066009,0,17,47,2290,1.66,0.0
68344,Urbès,246800205,0,3,19,322,69.88,66.67
68345,Urschenheim,200066025,0,3,19,772,,
68347,Vieux-Ferrette,200066041,0,3,24,604,0.0,0.0
68348,Vieux-Thann,200036465,2,19,41,2538,100.0,100.0
68349,Village-Neuf,200066058,0,21,56,4048,100.0,100.0
68350,Vœgtlinshoffen,246800494,0,6,10,431,0.0,0.0
68351,Vogelgrun,200066025,0,5,9,392,,
68352,Volgelsheim,200066025,0,24,47,2488,,
68353,Wahlbach,200066058,0,2,23,428,0.0,0.0
68354,Walbach,246800726,0,8,20,832,100.0,100.0
68355,Waldighofen,200066041,0,19,33,1228,0.0,0.0
68356,Walheim,200066041,1,6,34,883,100.0,100.0
