CODGEO,LIBGEO,services,commerces,enseignement,sante,transport,sport_culture,tourisme,total
68385,,30,0,3,12,0,21,0,66
68386,,30,12,3,6,0,9,0,60
69001,,24,0,3,6,0,3,0,36
69002,,9,0,3,0,0,15,3,30
69003,,153,24,3,78,6,30,9,303
69004,,51,0,3,15,0,18,3,90
69005,,87,18,3,12,0,9,3,132
69006,,216,147,15,174,12,87,3,654
69007,,168,63,6,75,6,36,6,360
69008,,39,9,3,0,3,18,0,72
69009,,453,147,24,249,27,72,9,981
69010,,423,207,30,450,18,72,18,1218
69012,,33,3,3,0,3,3,0,45
69013,,285,63,9,444,0,45,0,846
69014,,54,6,6,15,0,24,0,105
69016,,6,0,0,0,0,0,3,9
69017,,66,3,3,9,0,15,3,99
69018,,156,69,12,120,3,42,0,402
69019,,903,354,45,504,36,84,21,1947
69020,,39,3,3,3,0,24,0,72
69021,,135,42,6,75,3,39,3,303
69022,,33,0,3,3,0,12,0,51
69023,,75,36,6,51,0,21,3,192
69024,,303,132,21,126,6,72,3,663
69026,,45,9,3,0,0,6,0,63
69027,,945,225,30,435,54,105,15,1809
69028,,489,72,9,135,24,30,0,759
69029,,2022,507,144,1047,366,231,45,4362
69030,,60,9,3,6,6,12,3,99
69031,,84,15,9,6,0,15,0,129
69032,,153,21,6,45,0,33,0,258
69033,,222,27,3,63,3,24,3,345
69034,,1680,552,96,1839,231,117,45,4560
69035,,30,9,3,0,0,15,0,57
69036,,93,18,3,18,3,12,0,147
69037,,57,3,3,15,0,9,0,87
69038,,57,6,3,9,6,15,0,96
69039,,33,0,3,3,6,12,0,57
69040,,420,231,12,249,36,39,12,999
69042,,21,3,3,3,0,12,0,42
69043,,558,126,18,258,27,54,6,1047
69044,,279,135,15,165,15,30,12,651
69045,,51,12,12,9,3,15,0,102
69046,,261,36,9,99,3,33,0,441
69047,,48,12,3,18,0,21,0,102
69049,,159,39,6,105,9,39,3,360
69050,,132,36,9,57,3,36,0,273
69051,,45,6,3,3,3,21,0,81
69052,,282,42,9,156,15,36,3,543
69053,,45,9,3,0,0,9,0,66
69054,,21,9,3,15,0,3,0,51
69055,,99,33,3,51,6,21,3,216
69056,,117,18,15,36,9,18,0,213
69057,,36,3,3,0,3,6,0,51
