code_epci,pv_mwh,pv_sites,pv_kwh_par_hab
246800494,850.8,97,66.1
243100773,1182.7,131,76.5
200027100,2505.9,471,54.1
245100037,765.5,128,
242100519,2718.6,82,
200000420,599.5,169,
246100408,587.6,65,
244400503,2535.3,23,37.9
242700565,997.2,153,
240700674,2548.9,149,
245701206,3975.3,324,140.9
242900561,1713.5,97,115.0
200059889,12019.4,808,28.1
247700339,60.4,2,1.5
248500548,7924.0,268,
242700425,792.5,39,
242200780,297.5,51,
245901061,228.4,88,9.2
246301162,529.9,4,
243100898,2474.9,226,
200041168,1254.4,84,79.3
246200299,1189.3,325,9.4
245400916,227.8,40,
247700123,101.4,23,
243100567,5161.4,652,237.8
242504355,493.7,101,71.7
242200723,954.5,47,
247800550,203.9,41,6.8
200042117,318.1,85,
200036069,1088.6,89,80.6
246401517,3782.3,233,
248100430,11440.9,599,145.1
200042471,2922.7,268,
247700719,499.5,67,
242700326,509.7,99,
242700359,356.2,36,
200035699,602.2,76,
200034023,6169.9,573,189.7
200023620,12881.2,502,569.0
200041960,2009.0,567,20.5
248500647,983.3,12,
243100716,968.4,102,
242200855,243.2,42,
200035780,1321.6,154,
200035533,12889.8,111,909.5
200006070,3675.9,92,
246300909,2394.2,101,
246201115,511.6,97,
243000650,6487.8,4,312.9
241200880,1618.9,54,
243100708,6799.3,234,
242700631,738.8,67,
200034031,2094.9,131,328.5
247800600,428.5,119,
243301405,25421.9,290,1165.2
248100497,3801.9,97,684.5
245701388,579.4,194,
246300685,179.2,35,
246200117,208.4,76,
200034049,3739.7,232,333.2
241200799,5398.5,128,
248100737,15508.8,631,186.3
248100711,1390.6,117,
200036002,475.0,58,
242700367,691.4,71,
242700649,1479.5,212,
246300651,682.9,53,
243301249,1700.0,241,59.2
248100661,2480.6,58,
240200642,446.1,54,
200027225,535.1,96,
243000270,1201.5,148,121.3
243301447,97996.9,288,3231.2
240200550,240.7,36,
241700640,4946.7,748,58.0
243000585,16753.0,49,534.1
243000643,52641.9,2289,203.4
242700656,383.0,73,
242700474,194.3,45,
243301371,3906.4,152,235.8
241700434,11526.0,1370,64.7
243301298,530.3,76,
241700459,220.3,22,12.5
200041523,37278.8,893,544.4
243000569,16969.3,7,599.6
247700032,391.5,119,10.0
247200520,1187.9,100,
200035152,29245.1,1056,
200034379,55151.2,311,1936.1
243000296,2214.1,340,90.7
247200595,821.9,79,
243301439,610.6,7,27.5
243000684,21220.6,344,823.6
247200702,957.3,147,
246600399,4292.3,165,492.6
200040244,0.0,0,0.0
242504397,196.3,58,
200034874,423.9,65,70.8
243901113,309.5,57,
245000302,233.2,43,
240900555,0.0,0,
200018323,536.6,73,
200000735,3245.4,26,
244300224,13963.8,76,
245614433,4280.5,632,92.7
241000256,0.0,0,
241501048,20041.7,128,
200040558,2093.7,100,191.7
200042976,445.3,44,
200034916,2220.8,215,
200039915,3032.6,16,19.3
240900415,859.8,36,
241200781,3802.0,25,
244100707,2778.4,152,
242320067,1392.2,29,
246401855,1373.9,239,
240800920,2766.3,142,165.5
200030195,13568.8,1420,24.5
241600394,1382.6,72,
200034353,725.8,99,
242101343,988.0,43,
242852424,926.6,62,
241400779,213.7,42,
241000389,815.8,40,
244200630,971.7,215,69.0
242900751,5442.3,364,162.6
200041010,2250.9,556,59.8
241600360,1376.9,68,
243700499,988.6,172,60.8
245400510,1313.3,245,116.8
240500322,3002.5,71,
200038933,9182.1,383,
200034924,751.0,55,
200034718,4225.5,132,179.2
200039931,4527.3,106,458.0
246800577,1223.4,120,67.4
242852432,117.0,51,
246000566,231.3,42,7.7
243600228,1766.6,99,
242600567,633.2,4,
240300731,1498.8,88,
249100074,279.0,120,10.3
245804588,156.3,49,
247600448,118.1,42,
246600423,1391.0,67,240.4
