codgeo,libgeo,revenu_median,taux_pauvrete,rapport_interdecile,decile1,decile9,part_imposes,nb_menages,nb_personnes,nb_uc,part_rev_activite,part_salaires,part_chomage,part_non_salaries,part_retraites,part_patrimoine,part_presta_sociales,part_presta_familiales,part_presta_logement,part_minima_sociaux,part_impots
244500211,,21800,17.7,3.1,11540,35610,50.9,10918,24289,16820.5,66.5,59.4,2.8,4.3,34.4,7.1,6.4,2.4,1.2,2.8,-14.4
244500419,,22890,10.4,2.7,13710,36470,53.9,7435,17192,11785.7,68.8,60.8,2.8,5.2,33.3,7.8,4.6,2,0.7,1.9,-14.5
244500427,,24780,8,2.6,14780,38490,59,17984,43191,29055.1,76.3,70.5,2.2,3.6,28.1,7.4,3.7,1.9,0.6,1.2,-15.5
244500468,,23230,15.8,3.4,11960,40170,57.5,124068,275054,189735.1,75.2,68.5,2.8,3.9,28.3,7.1,6.1,2.3,1.3,2.5,-16.7
244500484,,25210,6.4,2.4,15890,37810,63.6,7011,17686,11702.3,80.3,73.9,2.1,4.3,25.4,6.3,3.6,2,0.5,1.1,-15.6
244500542,,23770,7.5,2.4,15220,36690,55.3,2760,6715,4510.1,78.7,68.4,2.5,7.8,24.5,7.7,3.9,2.2,0.4,1.3,-14.8
244600433,,21680,15.9,3,12000,36160,44.1,6496,12877,9406.4,49.9,39.8,2.8,7.3,48.4,10.1,4.9,1.4,0.8,2.7,-13.3
244600482,,21440,15.9,3,12060,36570,44.3,5091,9754,7238.2,53.3,43.4,2.5,7.4,45.7,10.1,4.8,1.2,1,2.6,-13.9
244600532,,22070,15.4,3,11990,35590,46.8,3800,8090,5732.4,57.8,46.6,3.2,8,41.7,8.6,4.7,1.7,0.8,2.2,-12.8
244600573,,21100,16.5,3.1,11610,35500,43.9,1706,3262,2420.1,53.5,42.5,2.7,8.3,45.9,9.9,4.3,1.2,0.7,2.4,-13.6
244700449,,20140,20.5,3.3,10830,35720,38.7,2428,4992,3594.8,56.7,41.8,2.5,12.4,39.1,12.4,5,1.5,0.9,2.6,-13.2
244700464,,19740,19.1,2.9,11210,32070,36.1,4728,9328,6824.7,51.3,42.1,2.6,6.6,45,9.3,6.2,1.7,1.2,3.3,-11.8
244701355,,21360,16.5,3,11760,35290,42.7,5551,11181,8101.3,58.2,50.2,2.6,5.4,39.6,10.8,4.6,1.4,0.9,2.3,-13.2
244701405,,20350,18.3,3.1,11110,34410,39.7,2938,6206,4397.8,60.5,48.5,3.2,8.8,36.9,9.7,5.7,2,1,2.7,-12.8
244800405,,23040,11.6,2.8,13220,36760,52.5,6913,14399,10226.6,70.9,62.7,1.8,6.4,29.3,9.6,5.4,1.8,1,2.6,-15.2
244800470,,22280,13.1,2.7,12870,34620,49.4,4169,8727,6192.3,63.8,55,2.1,6.7,35.1,9.3,5.7,1.9,1,2.8,-13.9
244900015,,23240,13.9,3.2,12420,39710,52.6,129959,281923,196592.7,72.8,65,2.8,5,29,8.3,5.9,2,1.3,2.6,-16
244900809,,21110,13,2.5,12890,32150,41.6,14662,33871,23121.8,69.9,61.6,2.9,5.4,29.9,6.4,6.2,2.7,1,2.5,-12.4
244900882,,21710,11.6,2.5,13360,33190,43.9,13839,31889,21826.3,69.6,60.9,2.7,6,31.3,7,5,2.3,0.8,1.9,-12.9
245100615,,26310,6,2.9,15690,45320,64.5,6374,14041,9814.4,75.5,62,2.1,11.4,28.3,12.3,2.6,1.1,0.4,1.1,-18.7
245100888,,21740,13.9,2.9,12500,35860,48.4,3240,7205,4997.2,69.3,58.2,2.9,8.2,30,9.5,5.5,2.2,1,2.3,-14.3
245100979,,21980,14.7,3,12190,36440,47,2587,5745,3989.8,67.5,54.2,3.3,10,29.1,11.7,5.4,2.1,1,2.3,-13.7
245200597,,21940,12.1,2.7,12990,34490,47.9,3291,7129,5017.2,64.1,55.4,2.2,6.5,36,8.4,4.6,1.7,0.7,2.2,-13.1
245300223,,21920,9.6,2.4,13950,33770,45.9,5656,13540,9126.1,75.4,65.5,2.4,7.5,25.8,6.9,5.1,2.7,0.8,1.6,-13.2
245300355,,21800,10.7,2.4,13580,33160,41.8,8658,19902,13609.4,71.5,61.2,2.1,8.2,28,8.1,5,2.5,0.8,1.7,-12.6
245300389,,20930,14.5,2.6,12330,32550,39,8235,17962,12598.2,62.2,50.5,1.9,9.8,36,8.5,5.1,2.2,0.8,2.1,-11.8
245300447,,22310,9.9,2.5,13860,34790,46.8,12905,29670,20313.7,69.9,62.1,2.2,5.6,29.8,8.7,5.2,2.4,0.9,1.9,-13.6
