CODGEO,revenu_median_2019
02444,19320.0
02445,19990.0
02446,22620.0
02447,20140.0
02448,19490.0
02450,16930.0
02451,21250.0
02452,21820.0
02453,20890.0
02454,20530.0
02455,21680.0
02456,20190.0
02457,18900.0
02458,20950.0
02459,27190.0
02460,19550.0
02461,21510.0
02462,21400.0
02464,21900.0
02465,23000.0
02466,23130.0
02468,17460.0
02469,18900.0
02470,17680.0
02471,22040.0
02472,20550.0
02473,19830.0
02474,21840.0
02476,17320.0
02477,24460.0
02478,20560.0
02480,22620.0
02481,27250.0
02483,22040.0
02484,20820.0
02485,27000.0
02487,23030.0
02488,19180.0
02489,24870.0
02490,24810.0
02491,19900.0
02492,20350.0
02493,20980.0
02494,21260.0
02495,20260.0
02496,21980.0
02497,22590.0
02498,20850.0
02500,18510.0
02502,17360.0
02503,19070.0
02504,19650.0
02505,23090.0
02506,24530.0
02508,22860.0
02509,21450.0
02510,23720.0
02511,19080.0
02512,23860.0
02513,20110.0
02514,21490.0
02517,19070.0
02518,20710.0
02519,18300.0
02520,21080.0
02521,23020.0
02524,22740.0
02525,23950.0
02527,21190.0
02528,23260.0
02529,20990.0
02531,20980.0
02532,21760.0
02533,21720.0
02535,19330.0
02536,20390.0
02537,21830.0
02539,20100.0
02540,22870.0
02541,22530.0
02543,19960.0
02544,18990.0
02545,20420.0
02546,24040.0
02548,20940.0
02549,22720.0
02550,21270.0
02551,22170.0
02552,22730.0
02553,20820.0
02554,23650.0
02555,20720.0
02557,22920.0
02558,18450.0
02559,18730.0
02560,21700.0
02561,25360.0
02562,18560.0
02563,19000.0
02564,22260.0
02565,20920.0
02566,22330.0
02567,18540.0
02568,24280.0
02569,19080.0
02570,20820.0
02571,23540.0
02572,24540.0
02574,19160.0
02575,18260.0
02576,23340.0
02579,23450.0
02580,19680.0
02581,23690.0
02584,23120.0
02585,22730.0
02586,20980.0
02587,22610.0
02589,22180.0
02590,21020.0
02591,19530.0
02592,20410.0
02593,24030.0
02594,23120.0
02595,26460.0
02596,21090.0
02598,24120.0
02599,21100.0
02600,19490.0
02601,22060.0
02602,19290.0
02605,19560.0
02608,18440.0
02610,22470.0
02612,16350.0
02613,23280.0
02614,19910.0
02615,25300.0
02616,20740.0
02617,20240.0
02618,19330.0
02619,22600.0
02620,21620.0
02621,26740.0
02624,20570.0
02625,19520.0
02626,23230.0
02627,21960.0
02628,23090.0
02629,17850.0
02631,20120.0
02635,21070.0
02636,22420.0
02637,25140.0
02638,19510.0
02639,21760.0
02640,17430.0
02641,14990.0
02642,17640.0
02643,22750.0
02644,22270.0
02645,20780.0
02648,18830.0
02649,22070.0
02650,19150.0
02651,22700.0
02652,18780.0
02653,22000.0
02655,19210.0
02656,23820.0
02657,18530.0
02658,23010.0
02659,25230.0
02661,23110.0
02662,21040.0
02663,20560.0
02664,24330.0
02665,22560.0
02666,17730.0
02667,24480.0
02668,18330.0
02670,20620.0
02671,17990.0
02672,21790.0
02673,21960.0
02675,21010.0
02676,20280.0
02677,20660.0
02679,24610.0
02680,20210.0
02681,19420.0
02682,19630.0
02683,17850.0
02684,17590.0
02685,23850.0
02686,22180.0
02687,25150.0
02691,17630.0
02693,21140.0
02694,21670.0
02697,23100.0
02698,20940.0
02699,19690.0
02701,21870.0
02702,23250.0
02703,19250.0
02704,19820.0
02705,19730.0
02706,22350.0
02707,23450.0
02708,24770.0
02709,18600.0
02710,20630.0
02711,22130.0
02712,24220.0
02713,20770.0
02714,19820.0
02716,23840.0
02717,20680.0
02718,24310.0
02719,20670.0
02720,17980.0
02721,23170.0
02722,17600.0
02725,18910.0
02726,20320.0
02727,18170.0
02728,20640.0
02730,17450.0
02731,19830.0
02734,21520.0
02736,19010.0
02737,19060.0
02738,17920.0
02739,22800.0
02740,19880.0
02741,17130.0
02742,16750.0
02743,19790.0
02745,21150.0
02746,20830.0
02748,22870.0
02749,22220.0
02750,18420.0
02751,22990.0
02752,18930.0
02753,18380.0
02754,22280.0
02755,21070.0
02756,22970.0
02757,17850.0
02758,19640.0
02759,18600.0
02760,17190.0
02761,23870.0
02762,20190.0
02763,19830.0
02765,24510.0
02766,19270.0
02767,24270.0
02768,20920.0
02769,18850.0
02770,23840.0
02772,21120.0
02774,23550.0
02775,22490.0
02776,19900.0
02777,23520.0
02778,21360.0
02779,16710.0
02780,20390.0
02781,23250.0
02782,20500.0
02783,17850.0
02784,19360.0
02785,21790.0
02786,23130.0
02787,22710.0
02788,20920.0
02789,18130.0
02790,19470.0
02791,22600.0
02792,19620.0
02793,23960.0
02794,26270.0
02795,20670.0
02797,19270.0
02798,21220.0
02799,20050.0
02800,21930.0
02801,20930.0
02802,19480.0
02803,22610.0
02804,22420.0
02805,19580.0
02806,19900.0
02807,22930.0
02808,18980.0
02810,19610.0
02812,24350.0
02813,20550.0
02814,20740.0
02815,22600.0
02816,21430.0
02818,22800.0
02819,17740.0
02820,22570.0
02821,22580.0
02822,23470.0
02824,26280.0
02826,20690.0
02827,20020.0
02830,18340.0
02831,21090.0
02832,19040.0
02833,19400.0
02834,22530.0
03001,21810.0
03002,20620.0
03003,20140.0
03004,17810.0
03005,16910.0
03006,16180.0
03007,22640.0
03008,19330.0
03009,18620.0
03010,20060.0
03011,20950.0
03012,21710.0
03013,22330.0
03014,21150.0
03015,21560.0
03016,21150.0
03017,18140.0
03018,20750.0
03019,20500.0
03020,19550.0
03021,21200.0
03022,18440.0
03023,22060.0
03024,17440.0
03025,21130.0
03026,22130.0
03027,18970.0
03028,19370.0
03029,21930.0
03030,21530.0
03031,21460.0
03032,18670.0
03033,21350.0
03034,20260.0
03035,15120.0
03036,20750.0
03037,18360.0
03038,22290.0
03039,20010.0
03040,24910.0
03041,19040.0
03042,18280.0
03043,20280.0
03044,22950.0
03045,21970.0
03046,18200.0
03047,20600.0
03048,19360.0
03049,21730.0
03050,15570.0
03051,18240.0
03052,21510.0
03053,21350.0
03054,22610.0
03055,21550.0
03056,19940.0
03057,20000.0
03058,18820.0
03059,20700.0
03060,22470.0
03061,21740.0
03062,24330.0
03063,20680.0
03064,20550.0
03065,20620.0
03066,18800.0
03067,20820.0
03068,20220.0
03069,18470.0
03070,19890.0
03071,19340.0
03072,21070.0
03073,22090.0
03074,21280.0
03075,21960.0
03076,23900.0
03077,18040.0
03078,19540.0
03079,20120.0
03080,22010.0
03081,20690.0
03082,19610.0
03083,21720.0
03084,19820.0
03085,23630.0
03086,19990.0
03087,17160.0
03088,18410.0
03089,21090.0
03090,19540.0
03091,20660.0
03092,21430.0
03093,22810.0
03094,24080.0
03095,19880.0
03097,21310.0
03098,21100.0
03099,20680.0
03100,20170.0
03101,21930.0
03102,20160.0
03103,18210.0
03104,20380.0
03105,20140.0
03106,21680.0
03107,21120.0
03108,19430.0
03109,20370.0
03110,22890.0
03111,21940.0
03112,20180.0
03113,19100.0
03114,20640.0
03115,20980.0
03116,21050.0
03117,19330.0
03118,19580.0
03119,20640.0
03120,21800.0
03121,22490.0
03122,20150.0
03124,21470.0
03125,15470.0
03126,21330.0
03127,20560.0
03128,21500.0
03129,19590.0
03130,19680.0
03131,19870.0
03132,19930.0
03133,20920.0
03134,20100.0
03135,17450.0
03136,19010.0
03137,20980.0
03138,19030.0
03139,18070.0
03140,22140.0
03141,18380.0
03142,17290.0
03144,20180.0
03145,23110.0
03146,19550.0
03147,16740.0
03148,19150.0
03149,22160.0
03150,18650.0
03151,21350.0
03152,19280.0
03154,18420.0
03155,18980.0
03156,21790.0
03157,21220.0
03158,20360.0
03159,20160.0
03160,21040.0
03161,20620.0
03162,24150.0
03163,21720.0
03164,20500.0
03165,18350.0
03166,23190.0
03167,20710.0
03168,20400.0
03169,20660.0
03170,21800.0
03171,20090.0
03172,17820.0
03173,19160.0
03174,20510.0
03175,18180.0
03176,20730.0
03177,17640.0
03178,17720.0
03179,19170.0
03180,20460.0
03181,19030.0
03182,22900.0
03183,19920.0
03184,23030.0
03185,18940.0
03186,18380.0
03187,21340.0
03188,21210.0
03189,20320.0
03190,19060.0
03191,19200.0
03192,19650.0
03193,20420.0
03194,20040.0
03195,22750.0
03196,18060.0
03197,21530.0
03198,21340.0
03200,24850.0
03201,18500.0
03202,18530.0
03203,19650.0
03204,21180.0
03205,20060.0
03206,18620.0
03207,20010.0
03208,18240.0
03209,22210.0
03210,19850.0
03211,23230.0
03212,22870.0
03213,20180.0
03214,18060.0
03215,21480.0
03216,18100.0
03217,23130.0
03218,22880.0
03219,21750.0
03220,20630.0
03221,20260.0
03222,18960.0
03223,20560.0
03224,16620.0
03225,18140.0
03226,16210.0
03227,20860.0
03229,20340.0
03230,21140.0
03231,20260.0
03232,21750.0
03233,22690.0
03234,19520.0
03235,19450.0
03236,19180.0
03237,20900.0
03238,20140.0
03239,18960.0
03240,19410.0
03241,18720.0
03242,20290.0
03243,22430.0
03244,21910.0
03245,19070.0
03246,21310.0
03247,20260.0
03248,17970.0
03249,18620.0
03250,20620.0
03251,20900.0
03252,21860.0
03253,22050.0
03254,20220.0
03255,18600.0
03256,19760.0
03257,20100.0
03258,22670.0
03259,20520.0
03260,18390.0
03261,21040.0
03262,23630.0
03263,21610.0
03264,20250.0
03265,18890.0
03266,20970.0
03267,22350.0
03268,21980.0
03270,19050.0
03271,23730.0
03272,17860.0
03273,21920.0
03274,18490.0
03275,20240.0
03276,20380.0
03277,18930.0
03278,22950.0
03279,20430.0
03280,18690.0
03281,19810.0
03282,18260.0
03283,21130.0
03284,20820.0
03285,21610.0
03286,23300.0
03287,20630.0
03288,18460.0
03289,19690.0
03290,23510.0
03291,20010.0
03292,20990.0
03293,19920.0
03294,22970.0
03296,19070.0
03297,19880.0
03298,19550.0
03299,16380.0
03300,18650.0
03301,21780.0
03303,19800.0
03304,23890.0
03305,21570.0
03306,24510.0
03307,23160.0
03308,18530.0
03309,18310.0
03310,19480.0
03311,21890.0
03312,18310.0
03313,18770.0
03314,23890.0
03315,20110.0
03316,20750.0
03317,18230.0
03319,19870.0
03320,18940.0
03321,22290.0
04001,23470.0
04004,19770.0
04006,20420.0
04008,19330.0
04013,22530.0
04018,20120.0
04019,19630.0
04021,18250.0
04022,18120.0
04023,19380.0
04024,20750.0
04025,20730.0
04026,20020.0
04027,23490.0
04028,17850.0
04031,20330.0
04032,19100.0
04033,20010.0
04034,19100.0
04035,20140.0
04036,23060.0
04039,19550.0
04041,20440.0
04042,18780.0
04045,19890.0
04046,22170.0
04047,22860.0
04049,20180.0
04053,23380.0
04055,19120.0
04057,18110.0
04058,18720.0
04059,19860.0
04061,21070.0
04062,17710.0
04063,22650.0
04065,20530.0
04066,22240.0
04068,23620.0
04070,20390.0
04073,22080.0
04074,18410.0
04075,23490.0
04076,20080.0
04077,18750.0
04079,21930.0
04081,21170.0
04084,21780.0
04086,23290.0
04087,21100.0
