CODGEO,nb_panier_elargi,nb_A1,nb_A2,nb_A4,nb_A5,nb_B1,nb_B2,nb_B3,nb_C2,nb_C6,nb_D1,nb_D3,nb_D4,nb_D5,nb_D6,nb_E1,nb_F1,nb_F3
30102,16,1,0,8,3,0,2,0,0,0,0,0,0,0,0,0,2,0
30103,24,1,1,15,3,0,0,1,0,0,0,0,0,0,0,0,2,1
30104,22,1,0,8,4,0,1,1,0,0,0,0,0,2,0,0,5,0
30105,14,1,1,5,2,0,1,0,0,0,0,0,0,0,0,0,3,1
30106,24,1,1,10,4,0,1,1,0,0,0,0,0,1,0,0,3,2
30107,11,1,0,2,1,0,2,0,0,0,0,0,0,2,0,0,2,1
30108,8,1,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1
30109,14,1,1,6,1,0,0,1,0,0,0,0,1,0,0,0,2,1
30110,8,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,1
30111,23,1,0,12,3,0,0,0,0,0,0,0,0,1,0,0,5,1
30112,37,1,1,16,11,0,2,0,0,0,0,0,1,0,0,1,3,1
30113,13,1,0,5,2,0,1,0,0,0,0,0,0,0,1,0,2,1
30114,14,1,1,6,2,0,1,0,0,0,0,0,0,1,0,0,2,0
30115,9,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30116,32,2,0,10,5,0,2,2,0,0,0,0,0,2,0,0,8,1
30117,78,2,1,27,23,1,8,5,0,0,0,1,0,1,0,0,8,1
30119,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30120,31,1,1,11,9,0,2,0,0,0,0,0,0,0,0,0,6,1
30121,9,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0
30122,18,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,1
30123,139,1,1,65,38,0,5,13,1,0,0,1,0,4,0,1,8,1
30124,13,1,0,5,3,0,2,0,0,0,0,0,0,0,0,0,1,1
30125,116,2,1,54,24,1,7,6,0,0,0,2,1,3,1,0,13,1
30126,27,2,0,12,6,0,2,0,0,0,0,0,0,1,0,0,3,1
30127,23,1,0,6,5,1,0,3,0,0,0,0,0,1,0,0,5,1
