CODGEO,diversite_equip,dens_services,dens_commerces,dens_enseignement,dens_sante,dens_transports,dens_sport_culture,sup_services,sup_commerces,sup_enseignement,sup_sante,sup_transports,sup_sport_culture
15140,1,10.29,1.87,0.0,2.34,0.0,3.28,0,0,0,1,0,0
15141,4,12.1,7.26,0.6,1.21,0.6,4.84,0,1,1,0,1,1
15142,2,10.56,1.76,0.0,1.76,0.0,5.28,0,0,0,1,0,1
15143,1,39.22,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15144,2,12.38,9.29,0.0,0.0,0.0,6.19,0,1,0,0,0,1
15146,0,15.27,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15147,3,19.44,8.64,0.0,0.0,0.0,8.64,1,1,0,0,0,1
15148,2,20.79,2.31,0.0,0.0,0.0,9.24,1,0,0,0,0,1
15149,1,7.72,0.0,0.0,15.44,0.0,0.0,0,0,0,1,0,0
15151,0,6.94,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15152,5,21.91,7.67,1.1,7.67,0.0,9.86,1,1,1,1,0,1
15153,5,24.67,11.65,0.69,2.06,0.0,10.28,1,1,1,1,0,1
15154,3,13.19,3.3,0.0,3.3,0.0,4.95,0,1,0,1,0,1
15155,1,12.05,0.0,0.0,0.0,0.0,12.05,0,0,0,0,0,1
15156,1,13.12,0.0,0.0,0.0,0.0,5.83,0,0,0,0,0,1
15157,2,20.0,0.0,0.0,0.0,0.0,8.57,1,0,0,0,0,1
15158,0,9.8,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
15159,4,18.59,11.15,0.0,7.43,0.0,18.59,1,1,0,1,0,1
15160,1,12.86,0.0,0.0,1.84,0.0,3.67,0,0,0,1,0,0
15161,2,9.43,9.43,0.0,0.0,0.0,9.43,0,1,0,0,0,1
15162,5,22.65,14.0,0.41,4.12,0.0,4.53,1,1,1,1,0,1
15163,1,10.85,0.9,0.0,0.9,0.0,4.52,0,0,0,0,0,1
15164,2,32.59,22.3,0.0,0.0,0.0,3.43,1,1,0,0,0,0
15165,2,20.51,0.0,0.0,0.0,0.0,5.13,1,0,0,0,0,1
15166,1,21.74,0.0,0.0,0.0,0.0,3.11,1,0,0,0,0,0
15167,1,26.55,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
15168,4,21.01,7.0,0.0,2.8,0.0,8.4,1,1,0,1,0,1
15169,4,20.66,6.08,0.0,3.65,0.0,9.72,1,1,0,1,0,1
15170,2,21.74,0.0,0.0,0.0,0.0,8.7,1,0,0,0,0,1
