codgeo,libgeo,code_epci,n_ecoles_c108,n_equipements,n_carreaux,pop_insee,pct_habitat_zone_ecole_15,pct_equipements_zone_ecole_15
29076,Milizac-Guipronvel,242900074,2,27,278,4533,65.4,48.15
29077,Guissény,242900793,1,16,207,1864,52.07,87.5
29078,Hanvec,242900801,2,10,227,1906,44.37,90.0
29079,Henvic,242900835,2,7,125,1260,77.05,100.0
29080,Hôpital-Camfrout,242900801,1,11,130,2284,70.65,100.0
29081,Huelgoat,200067197,1,18,97,1268,91.48,94.44
29082,Île-de-Batz,200067072,1,7,46,456,99.12,85.71
29083,Île-de-Sein,ZZZZZZZZZ,1,9,0,0,,100.0
29084,Île-Molène,242900074,1,8,0,0,,100.0
29085,Île-Tudy,242900702,1,12,28,693,85.06,83.33
29086,Irvillac,242900801,1,6,150,1417,74.59,100.0
29087,Le Juch,242900645,1,5,88,651,55.22,80.0
29089,Kergloff,242900744,1,7,109,835,75.15,100.0
29090,Kerlaz,242900645,1,3,94,821,87.58,100.0
29091,Kerlouan,242900793,2,13,262,2050,74.85,100.0
29093,Kernilis,242900793,2,8,75,1370,92.26,100.0
29094,Kernouës,242900793,1,5,59,620,96.94,100.0
29095,Kersaint-Plabennec,242900553,1,8,80,1521,92.08,100.0
29097,Lampaul-Guimiliau,242900751,2,9,143,1890,72.57,100.0
29098,Lampaul-Plouarzel,242900074,2,10,66,2084,95.25,100.0
29099,Lampaul-Ploudalmézeau,242900074,0,4,55,724,34.62,0.0
29100,Lanarvily,242900793,0,3,39,357,0.0,0.0
29101,Landéda,242900553,3,14,193,3752,79.35,92.86
29102,Landeleau,242900561,1,8,132,866,69.79,87.5
29103,Landerneau,242900801,10,85,209,13984,99.34,100.0
29104,Landévennec,200066868,0,3,63,285,0.0,0.0
29105,Landivisiau,242900751,6,71,197,8830,97.24,98.59
29106,Landrévarzec,200068120,2,12,147,1710,71.28,75.0
29107,Landudal,200068120,1,5,100,866,73.67,100.0
29108,Landudec,242900710,1,14,124,1161,75.5,100.0
29109,Landunvez,242900074,1,6,155,1508,55.89,83.33
29110,Langolen,200068120,1,8,116,822,80.78,100.0
29111,Lanhouarneau,200067072,1,8,112,1224,84.85,100.0
29112,Lanildut,242900074,1,7,68,940,94.63,100.0
29113,Lanmeur,242900835,2,23,174,2004,87.95,95.65
29114,Lannéanou,242900835,0,3,57,256,0.0,0.0
29115,Lannédern,200067247,1,3,57,302,70.74,100.0
29116,Lanneuffret,242900801,0,1,12,90,0.0,0.0
29117,Lannilis,242900553,3,40,274,5628,86.68,95.0
29119,Lanrivoaré,242900074,2,11,89,1329,91.2,90.91
29120,Lanvéoc,200066868,1,18,120,1750,82.25,100.0
29122,Laz,242900561,1,6,119,652,61.66,100.0
29123,Lennon,200067247,1,7,114,758,49.11,100.0
29124,Lesneven,242900793,5,60,137,5979,95.99,96.67
29125,Leuhan,242900561,1,8,161,785,52.42,75.0
29126,Loc-Brévalaire,242900553,0,1,15,162,0.0,0.0
29128,Loc-Eguiner,242900751,0,2,58,366,1.09,0.0
29130,Locmaria-Plouzané,242900074,3,20,232,5230,71.27,85.0
29131,Locmélar,242900751,1,5,49,474,63.96,100.0
29132,Locquénolé,242900835,1,4,16,589,100.0,75.0
29133,Locquirec,242900835,1,10,103,1386,66.61,80.0
29134,Locronan,200068120,1,4,68,790,92.47,100.0
29135,Loctudy,242900702,3,21,216,3940,94.42,90.48
29136,Locunolé,242900694,1,6,103,1118,58.97,100.0
29137,Logonna-Daoulas,242900801,1,8,174,2176,67.89,100.0
29139,Lopérec,200067197,1,9,138,735,56.39,77.78
29140,Loperhet,242900801,3,16,207,3703,69.81,87.5
29141,Loqueffret,200067197,1,5,65,312,66.93,100.0
29142,Lothey,200067247,1,3,65,394,81.96,100.0
29143,Mahalon,242900629,1,8,117,860,59.73,87.5
29144,La Martyre,242900801,2,6,65,725,66.14,83.33
29145,Confort-Meilars,242900629,1,7,98,802,77.43,100.0
29146,Melgven,242900769,3,20,344,3120,60.99,80.0
29147,Mellac,242900694,1,20,194,3221,74.25,80.0
29148,Mespaul,200067072,1,7,86,846,72.89,100.0
29150,Moëlan-sur-Mer,242900694,5,35,577,7136,69.13,91.43
29151,Morlaix,242900835,11,89,287,11708,97.63,97.75
29152,Motreff,242900744,1,5,110,596,55.03,100.0
29153,Névez,242900769,2,15,284,2738,43.6,100.0
29155,Ouessant,ZZZZZZZZZ,1,17,133,747,70.08,88.24
29156,Pencran,242900801,2,6,82,1964,91.35,100.0
29158,Penmarch,242900702,3,30,286,5389,80.04,96.67
29159,Peumerit,242900710,1,6,129,789,58.87,83.33
29160,Plabennec,242900553,4,42,421,8143,81.67,73.81
29161,Pleuven,242900660,2,15,133,2444,70.98,80.0
29162,Pleyben,200067247,3,35,394,3528,68.35,91.43
29163,Pleyber-Christ,242900835,3,25,234,3026,80.75,100.0
29165,Plobannalec-Lesconil,242900702,2,22,237,3592,89.02,90.91
29166,Ploéven,200067247,1,4,63,464,79.31,100.0
29167,Plogastel-Saint-Germain,242900710,2,15,208,1916,60.52,93.33
29168,Plogoff,242900629,1,9,115,1132,51.19,100.0
29169,Plogonnec,200068120,3,18,343,3076,51.19,88.89
29170,Plomelin,200068120,3,24,263,4076,61.27,75.0
29171,Plomeur,242900702,2,26,261,3196,58.69,73.08
29172,Plomodiern,200067247,2,10,277,2135,53.93,100.0
29173,Plonéis,200068120,2,15,158,2274,89.05,93.33
29174,Plonéour-Lanvern,242900710,4,38,445,5870,60.95,81.58
29175,Plonévez-du-Faou,242900561,2,21,377,1970,51.13,90.48
29176,Plonévez-Porzay,200067247,2,18,178,1748,66.41,83.33
29177,Plouarzel,242900074,3,20,252,3805,88.08,90.0
29178,Ploudalmézeau,242900074,6,42,270,6232,90.51,100.0
29179,Ploudaniel,242900793,3,35,325,3169,53.52,62.86
29180,Ploudiry,242900801,1,5,101,885,71.47,100.0
29181,Plouédern,242900801,3,17,159,2539,92.26,100.0
29182,Plouégat-Guérand,242900835,1,8,137,1000,59.95,87.5
29183,Plouégat-Moysan,242900835,1,4,105,664,80.35,100.0
29184,Plouénan,200067072,3,12,251,2564,71.06,83.33
29185,Plouescat,200067072,2,23,243,3393,65.69,95.65
29186,Plouezoc'h,242900835,1,11,153,1524,66.71,100.0
29187,Plougar,242900751,1,5,106,726,65.4,80.0
29188,Plougasnou,242900835,2,21,363,3147,63.31,90.48
29189,Plougastel-Daoulas,242900314,7,53,596,13564,65.17,81.13
29190,Plougonvelin,242900074,3,21,222,4651,83.75,76.19
29191,Plougonven,242900835,3,20,350,3088,57.98,80.0
29192,Plougoulm,200067072,2,10,168,1622,72.17,80.0
29193,Plougourvest,242900751,1,9,102,1150,81.92,100.0
29195,Plouguerneau,242900553,6,27,499,6790,70.04,96.3
29196,Plouguin,242900553,2,10,175,2150,79.98,90.0
29197,Plouhinec,242900629,2,25,307,4012,62.52,80.0
29198,Plouider,242900793,2,10,185,1684,67.18,100.0
29199,Plouigneau,242900835,5,35,406,4646,73.51,80.0
29201,Ploumoguer,242900074,2,13,227,2025,54.69,84.62
29202,Plounéour-Ménez,242900835,1,10,163,1250,54.86,90.0
29204,Plounéventer,242900751,1,12,160,2060,79.52,100.0
29205,Plounévézel,242900744,1,5,114,1092,82.15,100.0
29206,Plounévez-Lochrist,200067072,2,13,324,2216,55.7,76.92
29207,Plourin-lès-Morlaix,242900835,5,29,274,3557,87.69,96.55
29208,Plourin,242900074,1,8,121,1132,77.53,100.0
29209,Plouvien,242900553,3,15,254,3802,78.86,100.0
29210,Plouvorn,242900751,1,20,245,2666,70.84,100.0
29211,Plouyé,200067197,1,5,145,642,39.46,100.0
29212,Plouzané,242900314,7,60,335,12743,93.44,95.0
29213,Plouzévédé,242900751,2,14,152,1782,80.02,100.0
29214,Plovan,242900710,0,6,129,630,5.24,0.0
29215,Plozévet,242900710,1,20,301,2890,64.31,100.0
29216,Pluguffan,200068120,2,16,234,3882,84.35,93.75
29217,Pont-Aven,242900769,2,19,231,2811,49.27,31.58
29218,Pont-Croix,242900629,3,20,66,1294,94.36,95.0
29220,Pont-l'Abbé,242900702,7,69,232,7616,92.3,97.1
29221,Porspoder,242900074,2,12,122,1670,74.02,91.67
29222,Port-Launay,200067247,1,2,10,72,87.59,100.0
29224,Pouldergat,242900645,1,10,121,1042,79.8,100.0
29225,Pouldreuzic,242900710,2,18,171,1848,70.41,88.89
29226,Poullan-sur-Mer,242900645,1,8,185,1372,56.45,100.0
29227,Poullaouen,242900744,1,7,287,1450,45.19,100.0
29228,Primelin,242900629,0,6,91,640,0.0,0.0
29229,Quéménéven,200068120,1,11,166,1120,53.46,81.82
29230,Querrien,242900694,1,15,268,1599,52.19,86.67
