code_epci,score_socle,taux_couverture_socle
246000772,40.8,41.84
247600539,30.62,31.4
200048551,40.95,42.0
200068070,30.39,31.17
247300817,69.9,71.69
200070779,37.4,38.36
243301371,43.27,44.37
246800551,53.09,54.45
200044394,36.42,37.35
200034635,36.27,37.19
200067239,34.18,35.06
200070035,41.14,42.19
200067296,33.13,33.98
248400285,50.51,51.8
200072981,46.52,47.71
242100154,39.02,40.02
248719361,41.64,42.7
243801024,62.04,63.62
200030526,41.52,42.58
200039642,41.67,42.74
241900133,47.59,48.81
244100798,48.16,49.39
200041523,33.66,34.52
200040202,46.77,47.97
242700607,27.97,28.68
242000503,45.36,46.52
245901038,42.28,43.36
200033827,53.9,55.28
200023075,40.46,41.5
244400537,49.51,50.77
200067304,38.2,39.18
200040178,48.88,50.13
200035111,39.96,40.98
246800494,41.2,42.25
200041010,40.14,41.16
200042703,34.16,35.04
200068005,27.55,28.25
200072668,36.05,36.97
243000684,45.45,46.61
200068922,37.91,38.88
200043263,34.42,35.3
200069185,49.5,50.76
200071017,35.05,35.94
200071371,40.63,41.67
200068484,53.73,55.1
248500563,50.49,51.78
200072684,43.93,45.05
200073112,49.96,51.24
246700959,38.63,39.61
243600350,38.39,39.37
200066405,37.34,38.3
240800920,28.97,29.71
243200458,42.3,43.38
200071595,41.11,42.16
200067783,36.18,37.1
200068914,36.9,37.85
200070969,33.73,34.59
243400736,46.42,47.61
200067031,39.13,40.13
244600482,42.97,44.06
200070159,37.2,38.15
242900629,47.03,48.23
200067486,26.81,27.5
200067643,40.41,41.44
245500327,43.23,44.34
200069839,33.06,33.9
200066587,39.56,40.57
200042620,39.83,40.85
200043354,39.16,40.16
200065589,33.66,34.52
200072049,39.26,40.26
200040400,33.58,34.43
200067668,38.41,39.39
245614417,48.07,49.29
200036069,38.05,39.02
247300015,58.1,59.58
243100732,43.27,44.38
200070118,41.04,42.09
200041721,44.45,45.58
248200065,42.2,43.27
244500419,34.83,35.72
200034411,39.83,40.85
242010130,49.7,50.97
200035442,30.26,31.03
200041572,43.05,44.15
200035202,39.82,40.84
243000270,40.85,41.89
247000821,45.95,47.12
200068963,38.72,39.71
247800550,35.07,35.97
246000897,36.93,37.87
243900354,63.64,65.27
244200895,44.55,45.69
248100158,42.94,44.03
200070548,36.53,37.46
200069417,39.13,40.13
246800676,39.65,40.66
242900561,45.86,47.03
243301439,51.67,52.99
200071470,40.82,41.86
200071942,39.26,40.26
200066710,31.08,31.87
200067429,37.19,38.14
243200607,43.73,44.85
246201016,26.09,26.76
241800424,43.47,44.58
200066801,29.34,30.09
246600548,56.33,57.76
245100888,41.47,42.53
243801073,49.67,50.94
200034049,46.62,47.81
241500271,40.61,41.65
247700065,31.09,31.89
200033868,56.62,58.07
200072080,36.23,37.16
200066371,40.09,41.12
200071058,43.99,45.11
200023299,68.67,70.42
245501242,35.93,36.85
200034098,49.71,50.98
248900896,37.25,38.2
243200425,52.47,53.81
241000447,39.16,40.16
200073393,34.9,35.79
200035970,32.6,33.44
200073252,50.25,51.53
241700459,57.23,58.69
200071504,44.66,45.8
200035129,45.19,46.34
200043016,34.83,35.72
200038958,41.28,42.33
243301181,40.54,41.57
246000707,26.09,26.75
200042653,51.82,53.14
200041416,42.41,43.49
200069581,37.03,37.98
243301454,29.79,30.55
200070167,33.35,34.21
244301099,48.45,49.69
200070142,34.77,35.66
200071223,34.76,35.65
200035707,42.08,43.15
200067445,42.81,43.9
242600492,46.14,47.32
200058360,36.33,37.26
246401756,37.69,38.65
200073104,41.06,42.11
200070555,37.32,38.27
242200715,34.61,35.5
244000766,45.07,46.22
200068831,36.54,37.48
200011781,37.91,38.88
240300491,35.27,36.17
200041283,39.76,40.77
200071538,36.96,37.91
200071199,30.76,31.54
244301107,62.02,63.6
200044469,33.93,34.79
200070936,31.56,32.36
200044014,37.72,38.68
243300811,42.31,43.39
244700464,31.21,32.0
200069458,36.09,37.01
200043776,39.32,40.33
