CODGEO,gare_nat,gare_reg,gare_loc,points_gare
71150,0,0,1,4
71153,0,1,0,7
71176,0,0,1,4
71187,1,0,0,10
71192,0,0,1,4
71202,0,0,1,4
71212,0,0,1,4
71220,0,0,1,4
71263,0,0,1,4
71270,1,1,0,10
71282,0,0,1,4
71295,0,0,1,4
71297,0,0,1,4
71306,0,0,1,4
71310,0,0,1,4
71342,0,1,0,7
71372,0,0,1,4
71378,0,0,1,4
71382,0,0,1,4
71442,0,0,1,4
71482,0,0,2,4
71486,0,0,1,4
71512,0,0,1,4
71513,0,0,1,4
71543,0,1,0,7
71591,0,0,1,4
89015,0,0,1,4
89024,0,1,0,7
89025,0,0,1,4
89030,0,0,1,4
89074,0,0,1,4
89077,0,0,1,4
89091,0,0,1,4
89096,0,0,1,4
89129,0,0,1,4
89160,0,0,1,4
89190,0,0,1,4
89206,0,1,0,7
89237,0,0,1,4
89257,0,1,0,7
89263,0,0,1,4
89280,0,0,1,4
89309,0,1,0,7
89348,0,0,1,4
89387,0,1,0,7
89418,0,1,0,7
89439,0,0,1,4
89441,0,0,1,4
89460,0,1,0,7
89464,0,0,1,4
89478,0,0,1,4
90010,0,1,1,7
90032,0,0,1,4
90033,0,0,1,4
90042,0,0,1,4
90053,0,0,1,4
90056,0,0,1,4
90068,1,0,1,10
90071,0,0,1,4
90072,0,0,1,4
14026,0,0,1,4
14047,0,1,0,7
14079,0,0,1,4
14118,1,0,0,10
14220,1,0,0,10
14225,0,0,2,4
14287,0,0,1,4
14338,0,0,1,4
14366,1,0,1,10
14367,0,1,0,7
14370,0,0,1,4
14431,0,1,0,7
14456,0,0,1,4
14514,0,1,0,7
14610,0,0,1,4
14654,0,0,1,4
14754,0,0,1,4
14762,0,0,1,4
27008,0,0,1,4
27022,0,1,0,7
27051,0,0,1,4
27056,0,1,0,7
27082,0,0,1,4
27105,0,0,1,4
27116,0,0,1,4
27119,0,1,0,7
27165,0,1,0,7
27229,1,0,0,10
27284,0,1,0,7
27438,0,0,1,4
27492,0,0,1,4
27622,0,0,1,4
27679,0,1,0,7
27681,1,0,0,10
27701,0,1,0,7
50025,0,0,1,4
50099,0,1,0,7
50129,1,0,0,10
50147,0,1,0,7
50188,0,0,1,4
50218,0,1,0,7
50410,0,0,1,4
50502,0,1,0,7
50615,0,1,0,7
50639,0,0,1,4
61001,0,1,0,7
61006,0,1,0,7
61061,0,0,1,4
61063,0,0,1,4
61101,0,0,1,4
61116,0,0,1,4
61169,0,1,0,7
61214,0,1,0,7
61389,0,0,1,4
61464,0,0,1,4
61484,0,0,1,4
76034,0,1,0,7
76035,0,0,1,4
76057,0,1,0,7
76101,0,0,1,4
76141,0,1,0,7
76179,0,1,0,7
76217,0,1,0,7
76238,0,0,1,4
76245,0,1,0,7
76250,0,0,1,4
76255,0,0,1,4
76259,0,1,0,7
76260,0,0,1,4
76279,0,0,1,4
76341,0,0,2,4
76351,1,0,1,10
76366,0,0,1,4
76394,0,0,1,4
76397,0,0,1,4
76445,0,0,1,4
76447,0,0,2,4
76453,0,0,1,4
76456,0,0,1,4
76474,0,0,1,4
76484,0,1,0,7
76495,0,1,0,7
76534,0,0,1,4
76540,1,0,0,10
76561,0,1,0,7
76565,0,0,1,4
76575,0,0,1,4
76596,0,0,1,4
76602,0,0,1,4
76672,0,0,1,4
76678,0,0,1,4
76681,0,0,1,4
76705,0,0,1,4
76711,0,0,1,4
76738,0,0,1,4
76758,0,1,0,7
02013,0,0,1,4
02095,0,1,0,7
02168,0,1,0,7
02173,0,1,0,7
02186,0,0,1,4
02196,0,0,1,4
02216,0,0,1,4
02218,0,0,1,4
02232,0,0,1,4
02238,0,0,1,4
02243,0,0,1,4
02304,0,1,0,7
02307,0,0,1,4
02315,0,0,1,4
02334,0,0,1,4
02360,0,1,0,7
02381,0,1,1,7
02408,0,1,0,7
02438,0,0,1,4
02464,0,0,1,4
02474,0,0,1,4
02504,0,0,1,4
02555,0,0,1,4
02602,0,0,1,4
02676,0,0,1,4
02691,0,1,0,7
02722,0,1,0,7
02738,0,1,0,7
02761,0,0,1,4
02768,0,0,1,4
02788,0,0,1,4
02799,0,0,1,4
02810,0,1,0,7
02820,0,0,1,4
59009,0,0,3,4
59012,0,0,1,4
59015,0,0,1,4
59017,0,1,0,7
59018,0,1,0,7
59026,0,0,1,4
59033,0,1,0,7
59035,0,0,1,4
59036,0,1,0,7
59043,0,1,1,7
59044,0,0,1,4
59051,0,1,0,7
59052,0,1,0,7
59054,0,1,0,7
59067,0,1,0,7
59068,0,0,1,4
59074,0,0,1,4
59079,0,0,1,4
59092,0,0,1,4
59094,0,0,1,4
59118,0,0,1,4
59122,0,1,0,7
59126,0,0,1,4
59136,0,0,1,4
59138,0,0,1,4
59139,0,1,0,7
59155,0,0,1,4
59163,0,0,1,4
59172,0,0,1,4
59177,0,0,1,4
59178,1,0,0,10
59183,1,0,0,10
59184,0,0,1,4
59206,0,0,1,4
59210,0,1,0,7
59234,0,0,1,4
59249,0,1,0,7
59256,0,0,1,4
59271,0,0,1,4
59273,0,0,1,4
59286,0,0,1,4
59291,0,0,1,4
59295,0,1,0,7
59311,0,0,1,4
59322,0,0,1,4
59324,0,0,1,4
59330,0,0,1,4
59331,0,0,1,4
59343,0,1,0,7
59344,0,0,1,4
59350,2,1,4,10
59353,0,0,1,4
59360,0,0,1,4
59365,0,0,1,4
59368,0,0,1,4
59388,0,0,1,4
59392,0,1,1,7
59414,0,1,0,7
59431,0,0,1,4
59435,0,0,1,4
59449,0,1,0,7
59450,0,0,1,4
59452,0,1,0,7
59457,0,0,1,4
59462,0,1,0,7
59475,0,0,1,4
59481,0,1,0,7
59491,0,0,1,4
59495,0,0,1,4
59497,0,0,1,4
59504,0,0,1,4
59507,0,0,1,4
59511,0,0,1,4
59512,0,1,0,7
59514,0,0,1,4
59524,0,1,0,7
59525,0,0,1,4
59526,0,1,0,7
59527,0,0,1,4
59534,0,0,1,4
59550,0,0,1,4
59553,0,0,1,4
59560,0,1,0,7
59569,0,0,1,4
59574,0,1,0,7
59578,0,0,1,4
59582,0,0,1,4
59585,0,0,1,4
59586,0,1,1,7
59590,0,0,1,4
59599,1,0,0,10
59603,0,1,1,7
59606,1,0,0,10
59632,0,0,1,4
59635,0,0,1,4
59646,0,0,1,4
59653,0,1,1,7
60001,0,0,1,4
60021,0,0,1,4
60034,0,0,1,4
60039,0,0,1,4
60044,0,0,1,4
60057,0,1,0,7
60065,0,0,1,4
60086,0,0,1,4
60088,0,1,0,7
60116,0,1,0,7
60139,0,1,0,7
60141,0,1,0,7
60143,0,1,0,7
60149,0,0,1,4
60155,0,0,1,4
60157,0,1,0,7
60173,0,0,1,4
60175,0,1,0,7
60176,0,1,0,7
60218,0,0,1,4
60223,0,0,1,4
60233,0,0,1,4
60245,0,0,1,4
60248,0,0,1,4
60268,0,0,1,4
60286,0,0,1,4
60307,0,0,1,4
60310,0,0,1,4
60325,0,0,1,4
60330,0,0,1,4
60342,0,1,0,7
60356,0,0,1,4
60361,0,0,1,4
60368,0,0,1,4
60369,0,0,1,4
60380,0,0,1,4
60382,1,0,0,10
60387,0,0,1,4
60395,0,1,0,7
60402,0,0,1,4
60403,0,0,1,4
60414,0,0,1,4
60426,0,0,1,4
60446,0,1,0,7
60471,0,1,0,7
60479,0,0,1,4
60482,0,1,1,7
60492,0,0,1,4
60500,0,1,0,7
60509,0,1,0,7
60513,0,0,1,4
60524,0,1,0,7
60531,0,0,1,4
60537,0,0,1,4
60539,0,1,0,7
60542,0,0,1,4
60581,0,1,0,7
60584,0,0,1,4
60590,0,0,1,4
60595,0,0,1,4
60598,0,1,0,7
60616,0,0,1,4
60636,0,0,1,4
60643,0,0,1,4
60644,0,0,1,4
60684,0,0,1,4
60685,0,0,1,4
60698,0,0,1,4
62005,0,0,1,4
62036,0,0,1,4
62038,0,0,1,4
62041,1,0,0,10
62045,0,0,1,4
62046,0,0,1,4
62050,0,0,1,4
62057,0,1,0,7
62065,0,0,1,4
62073,0,0,1,4
62100,0,0,1,4
62119,0,1,0,7
62126,0,0,1,4
62128,0,0,1,4
62133,0,1,0,7
62138,0,0,1,4
62151,0,0,1,4
62160,0,2,0,7
62173,0,0,1,4
62177,0,0,1,4
62186,0,1,0,7
62191,0,0,1,4
62193,0,1,2,7
62194,0,0,1,4
62197,0,0,1,4
62201,0,0,1,4
62224,0,0,1,4
62240,0,0,1,4
62248,0,0,1,4
62262,0,0,1,4
62274,0,1,0,7
62297,0,0,1,4
62318,0,1,0,7
62324,0,0,1,4
62329,0,0,1,4
62349,0,0,1,4
62360,1,0,0,10
62363,0,0,1,4
62407,0,0,1,4
62427,0,1,0,7
62446,0,0,1,4
62447,0,0,1,4
62473,0,1,0,7
62497,0,1,0,7
62498,0,1,1,7
62510,0,0,1,4
62516,0,1,0,7
62523,0,0,1,4
62552,0,0,1,4
62555,0,0,1,4
62557,0,0,1,4
62563,0,0,1,4
62570,0,0,1,4
62573,0,0,1,4
62588,0,0,1,4
62604,0,0,1,4
62617,0,0,1,4
62621,0,0,1,4
62657,0,0,1,4
62666,0,0,1,4
62688,0,1,0,7
62711,0,1,0,7
62718,0,0,1,4
62730,0,0,1,4
62746,0,0,1,4
62765,0,1,0,7
62767,0,1,0,7
62771,0,0,2,4
62785,0,0,1,4
62820,0,0,1,4
62861,0,0,1,4
62865,0,0,1,4
62894,0,0,1,4
62907,0,1,0,7
80001,0,1,0,7
80010,0,1,0,7
80011,0,1,0,7
80016,0,1,0,7
80021,1,0,1,10
80036,0,0,1,4
80131,0,1,1,7
80151,0,0,1,4
80186,0,0,1,4
80212,0,1,0,7
80246,0,0,1,4
80256,0,0,1,4
80288,1,0,0,10
80299,0,0,1,4
80416,0,0,1,4
80426,0,0,1,4
80488,0,1,0,7
80507,0,0,1,4
80530,0,0,1,4
80549,0,0,1,4
80561,0,1,0,7
80570,0,1,0,7
80579,0,1,0,7
80582,0,0,1,4
80585,0,0,1,4
80600,0,0,1,4
80622,0,0,1,4
80625,0,0,1,4
80630,0,1,0,7
80635,0,0,1,4
80680,0,1,0,7
80688,0,1,0,7
80752,0,0,1,4
80799,0,1,0,7
08011,0,0,1,4
08028,0,0,1,4
08081,0,1,1,7
08090,0,0,1,4
08105,0,1,1,7
08139,0,0,1,4
08142,0,0,1,4
08166,0,0,1,4
08185,0,0,1,4
08190,0,0,1,4
08222,0,0,1,4
08237,0,0,1,4
08242,0,0,1,4
08262,0,0,1,4
08263,0,0,1,4
08327,0,0,1,4
08328,0,0,1,4
08341,0,0,1,4
08362,0,1,0,7
08363,0,1,0,7
08409,0,1,0,7
08486,0,0,1,4
08492,0,0,1,4
10033,0,0,1,4
10268,0,1,0,7
10323,0,1,0,7
10387,1,0,0,10
10401,0,0,1,4
51028,0,0,1,4
51030,0,0,1,4
51043,0,1,0,7
51058,1,0,0,10
51086,0,0,1,4
51108,0,1,0,7
51183,0,0,1,4
51217,0,1,0,7
51230,0,1,0,7
51250,0,1,0,7
51266,0,0,1,4
51308,0,0,1,4
51329,0,0,1,4
51337,0,0,1,4
51389,0,0,1,4
51391,0,0,1,4
51449,0,0,1,4
51454,1,0,2,10
51461,0,0,1,4
51530,0,0,1,4
51571,0,0,1,4
51649,0,1,0,7
52058,0,0,1,4
52121,0,1,0,7
52123,0,0,1,4
52155,0,0,1,4
52175,0,0,1,4
52211,0,0,1,4
52250,0,0,1,4
