codgeo,libgeo,epci,pop,n_types_socle_presents,score_socle,taux_couverture_socle
26334,Salettes,242600492,137,3,11.38,11.67
26370,Vercoiran,200068229,137,1,2.8,2.87
27200,Dardez,200071454,137,3,7.6,7.79
28264,Montireau,200070167,137,2,5.08,5.21
30105,Dourbies,200034601,137,5,8.9,9.13
31268,Lalouret-Laffiteau,200072643,137,2,9.1,9.33
31453,Rieumajou,200071298,137,3,10.5,10.77
32118,Durban,200072320,137,3,10.3,10.56
33112,Caumont,200069599,137,2,5.08,5.21
33276,Masseilles,200043982,137,1,2.8,2.87
33403,Sainte-Foy-la-Longue,200044394,137,2,7.24,7.42
34269,Saint-Jean-de-Minervois,200066348,137,4,6.8,6.97
40060,Callen,200069656,137,1,2.8,2.87
46018,Le Bastit,200066371,137,1,2.8,2.87
48100,Montbel,200069128,137,2,4.2,4.31
50088,Brouains,200069425,137,2,11.2,11.49
51214,Dommartin-Varimont,200042703,137,2,4.0,4.1
51397,La Neuville-aux-Bois,200042703,137,1,2.8,2.87
52362,Orbigny-au-Mont,200072999,137,1,2.8,2.87
53248,Saint-Pierre-sur-Erve,200033298,137,2,9.1,9.33
57366,Kirviller,200070746,137,2,9.1,9.33
58071,Chevannes-Changy,200067692,137,3,5.6,5.74
58236,Sainte-Colombe-des-Bois,200067916,137,1,2.8,2.87
59127,Capelle,245901038,137,1,2.8,2.87
59483,Quiévelon,200043396,137,2,5.08,5.21
61158,Faverolles,246100390,137,2,6.4,6.56
62395,Guigny,200044030,137,2,7.24,7.42
62619,Noreuil,200035442,137,2,7.24,7.42
62891,Willencourt,200069672,137,1,2.8,2.87
63312,Saint-Alyre-d'Arlanc,200070761,137,4,10.04,10.3
64056,Arrosès,200067296,137,2,4.2,4.31
64351,Lourdios-Ichère,200067262,137,3,9.34,9.58
64355,Louvigny,200067239,137,1,2.8,2.87
68243,Oberlarg,200066041,137,2,7.24,7.42
70181,Courcuire,200041887,137,1,2.8,2.87
70235,Flagy,200041879,137,3,10.84,11.12
71323,Mornay,200071884,137,3,5.6,5.74
71348,Perrigny-sur-Loire,200070316,137,1,2.8,2.87
71496,Sampigny-lès-Maranges,247100589,137,2,5.68,5.83
77271,Maisoncelles-en-Gâtinais,200023919,137,1,2.8,2.87
79149,Lhoumois,200041333,137,1,2.8,2.87
89176,Fontenay-près-Vézelay,200039758,137,1,2.8,2.87
91148,Chauffour-lès-Étréchy,249100553,137,1,2.8,2.87
01208,Lavours,200040350,136,1,2.8,2.87
01242,Mérignat,200029999,136,1,2.8,2.87
02323,Fontaine-Uterte,240200493,136,2,5.08,5.21
02725,Sommeron,240200444,136,1,2.8,2.87
03014,Avrilly,200071470,136,3,8.68,8.9
07179,Pourchères,200071413,136,1,2.8,2.87
10117,Crespy-le-Neuf,200066892,136,1,2.8,2.87
10354,Saint-Nabord-sur-Aube,200071777,136,1,2.8,2.87
10408,Viâpres-le-Petit,200070126,136,2,4.2,4.31
14590,Sainte-Honorine-de-Ducy,200066801,136,1,2.8,2.87
15018,Barriac-les-Bosquets,241501139,136,2,4.2,4.31
18093,Faverdines,200049484,136,1,2.8,2.87
21070,Bévy,200070894,136,1,2.8,2.87
21503,Pouilly-sur-Vingeanne,200072825,136,1,2.8,2.87
25153,Chevroz,242500361,136,1,2.8,2.87
27521,Saint-Christophe-sur-Avre,200066462,136,3,8.44,8.66
28114,Courbehaye,200070159,136,1,2.8,2.87
28221,Lumeau,200070159,136,1,2.8,2.87
2B080,Castifao,200073138,136,1,2.8,2.87
2B107,Ersa,200042943,136,3,10.5,10.77
31321,Marsoulas,200073146,136,3,9.52,9.76
32393,Saint-Maur,243200425,136,1,2.8,2.87
36187,Saint-Civran,243600319,136,1,2.8,2.87
38255,Montfalcon,200059392,136,1,2.8,2.87
39468,Rothonay,243901071,136,2,5.08,5.21
40079,Cazalis,200069649,136,2,4.2,4.31
40220,Pécorade,200069649,136,2,3.37,3.46
46050,Cambayrac,244600433,136,1,2.8,2.87
46155,Larnagol,200067361,136,2,4.9,5.03
46254,Saint-Chels,200067361,136,1,2.8,2.87
48160,Saint-Jean-la-Fouillouse,200069102,136,1,2.8,2.87
48174,Saint-Paul-le-Froid,200069102,136,2,4.2,4.31
50033,Baubigny,200067205,136,1,2.8,2.87
51098,Bussy-le-Repos,200067379,136,2,6.4,6.56
51236,Les Essarts-le-Vicomte,200066835,136,3,9.52,9.76
51305,Janvry,200067213,136,2,9.1,9.33
51396,Nesle-le-Repons,200066850,136,1,2.8,2.87
54562,Verdenal,200069433,136,2,4.0,4.1
55180,Esnes-en-Argonne,200066116,136,2,4.0,4.1
61046,Bizou,200068856,136,1,2.8,2.87
61166,Ferrières-la-Verrerie,200035103,136,1,2.8,2.87
63025,Ayat-sur-Sioule,200072080,136,1,2.8,2.87
64048,Arnos,200039204,136,1,2.8,2.87
65081,Benqué-Molère,200070787,136,2,7.24,7.42
65195,Génos,246500573,136,5,14.14,14.5
71164,Curtil-sous-Burnand,247103765,136,2,4.0,4.1
71400,Saint-Clément-sur-Guye,200040293,136,1,2.8,2.87
71537,Thil-sur-Arroux,200070530,136,2,4.0,4.1
80358,Fresnoy-en-Chaussée,200070969,136,1,2.8,2.87
80777,Vauchelles-lès-Authie,248000747,136,1,2.8,2.87
86206,Raslay,248600447,136,2,4.0,4.1
88069,Bouxières-aux-Bois,200068369,136,2,4.0,4.1
88113,Combrimont,200071066,136,2,5.08,5.21
88168,Fauconcourt,200005957,136,3,9.28,9.52
88416,Saint-Genest,200005957,136,3,7.12,7.3
88527,Xaffévillers,200005957,136,2,6.4,6.56
89095,Chemilly-sur-Serein,200067080,136,2,5.08,5.21
89120,Coulours,248900664,136,1,2.8,2.87
01111,Conand,240100883,135,2,4.0,4.1
02513,Montigny-le-Franc,240200469,135,2,6.4,6.56
04184,Saint-Jurs,200067437,135,2,4.2,4.31
05032,Champoléon,200068096,135,2,4.2,4.31
05146,Saint-Julien-en-Beauchêne,200067445,135,3,5.4,5.54
07187,Prunet,240700617,135,2,4.0,4.1
08010,Ambly-Fleury,200043156,135,1,2.8,2.87
08087,Brognon,200041622,135,1,2.8,2.87
08088,Bulson,240800847,135,1,2.8,2.87
08422,Singly,240800862,135,2,4.0,4.1
08462,Vaux-Champagne,240800862,135,1,2.8,2.87
11152,Fontjoncouse,200070365,135,1,2.8,2.87
11200,Lespinassière,200035715,135,3,12.6,12.92
11346,Saint-Jean-de-Paracol,200043776,135,3,6.48,6.65
11380,Sonnac-sur-l'Hers,200043776,135,1,2.8,2.87
15017,Badailhac,241501089,135,2,6.4,6.56
19095,Lacelle,200066645,135,4,12.6,12.92
21217,Curley,200070894,135,1,2.8,2.87
21528,La Roche-Vanneau,242101459,135,1,2.8,2.87
21604,Senailly,242101491,135,2,5.68,5.83
21634,Thorey-sur-Ouche,200071207,135,3,6.48,6.65
24424,Saint-Jean-d'Ataux,200040095,135,1,2.8,2.87
25049,Belfays,200023075,135,2,5.08,5.21
26356,Truinas,242600492,135,1,2.8,2.87
30338,Vallérargues,200034379,135,4,9.0,9.23
31177,Eup,200072635,135,1,2.8,2.87
31444,Puysségur,200071314,135,1,2.8,2.87
31449,Régades,200072643,135,2,5.08,5.21
32052,Bezolles,243200607,135,1,2.8,2.87
32135,Fustérouau,200035632,135,1,2.8,2.87
32220,Luppé-Violles,243200409,135,1,2.8,2.87
33292,Montignac,200069599,135,1,2.8,2.87
36041,La Chapelle-Saint-Laurian,200068880,135,1,2.8,2.87
38221,Marnans,200059392,135,1,2.8,2.87
38299,Pellafol,200040657,135,1,2.8,2.87
39278,Largillay-Marsonnay,243900719,135,2,9.1,9.33
46310,Soulomès,244600573,135,1,2.8,2.87
50126,Chavoy,200069425,135,1,2.8,2.87
51480,Sainte-Gemme,200066850,135,1,2.8,2.87
52336,Montreuil-sur-Blaise,200068666,135,1,2.8,2.87
53038,Boulay-les-Ifs,200042182,135,1,2.8,2.87
54033,Avillers,200070290,135,2,4.0,4.1
54041,Bagneux,245400510,135,2,9.1,9.33
54268,Housséville,200035772,135,1,2.8,2.87
54543,Vallois,200070324,135,2,4.0,4.1
58181,Moraches,200067692,135,1,2.8,2.87
58226,Saint-Agnan,200067890,135,1,2.8,2.87
58305,Vauclaix,200067692,135,1,2.8,2.87
60388,Martincourt,246000848,135,1,2.8,2.87
61176,Francheville,200035111,135,1,2.8,2.87
61252,Mardilly,200069458,135,1,2.8,2.87
61413,Saint-Lambert-sur-Dive,200068450,135,2,5.08,5.21
62809,Ternas,200069672,135,3,8.44,8.66
63159,Fernoël,200071215,135,1,2.8,2.87
64089,Baleix,200067296,135,1,2.8,2.87
64179,Castetner,200039204,135,2,5.08,5.21
65099,Bordères-Louron,246500573,135,3,7.0,7.18
65148,Cizos,200070795,135,1,2.8,2.87
70048,Bard-lès-Pesmes,200041887,135,1,2.8,2.87
70548,Vernois-sur-Mance,200036150,135,2,5.08,5.21
70583,Vy-lès-Filain,200041853,135,1,2.8,2.87
71377,Royer,200069698,135,3,6.3,6.46
77009,Arville,200023919,135,2,4.2,4.31
80153,Bus-lès-Artois,248000747,135,1,2.8,2.87
80667,Remaugies,200070977,135,1,2.8,2.87
80687,Rubescourt,200070977,135,1,2.8,2.87
80747,Templeux-la-Fosse,200037059,135,2,9.1,9.33
80810,Vitz-sur-Authie,200069672,135,1,2.8,2.87
86227,Saint-Laon,248600447,135,3,9.52,9.76
88280,Madegney,200068369,135,4,11.92,12.22
90024,Chavanatte,249000241,135,3,9.52,9.76
01404,Serrières-sur-Ain,200029999,134,1,2.8,2.87
02062,Belleau,200072031,134,1,2.8,2.87
02471,Martigny-Courpierre,200043495,134,1,2.8,2.87
02675,Sainte-Croix,240200592,134,1,2.8,2.87
04101,Lardiers,240400440,134,2,4.2,4.31
08014,Annelles,200043156,134,1,2.8,2.87
08063,La Besace,240800847,134,3,6.48,6.65
12293,Veyreau,241200567,134,3,8.44,8.66
15133,Montmurat,200066678,134,1,2.8,2.87
17002,Agudelle,200041523,134,1,2.8,2.87
19077,Estivals,200043172,134,1,2.8,2.87
19097,Lafage-sur-Sombre,241900133,134,2,4.0,4.1
19132,Ménoire,200066769,134,4,6.8,6.97
21010,Aloxe-Corton,200006682,134,3,8.64,8.86
21034,Autricourt,242101434,134,2,4.2,4.31
21116,Bure-les-Templiers,242101434,134,2,5.08,5.21
21149,Charrey-sur-Seine,242101434,134,2,4.9,5.03
24209,Hautefaye,200071819,134,1,2.8,2.87
25548,Solemont,200065647,134,3,7.8,8.0
26102,Condillac,200040459,134,1,2.8,2.87
26256,Propiac,200068229,134,1,2.8,2.87
26361,Valdrôme,242600534,134,3,8.44,8.66
32017,Aurensan,200030435,134,1,2.8,2.87
32040,Bédéchan,200042372,134,1,2.8,2.87
32087,Castex-d'Armagnac,243200458,134,2,4.2,4.31
32450,Tourdun,243200508,134,2,5.08,5.21
36115,Menetou-sur-Nahon,243600202,134,1,2.8,2.87
