CODGEO,nb_assos,nb_environnement,nb_culture,nb_social,nb_sport,nb_sante,nb_auto,pop,densite_assos_1000hab,densite_environnement_1000hab,densite_culture_1000hab,densite_social_1000hab,densite_sport_1000hab
17234,3,0,1,0,0,0,0,360.0,8.33,0.0,2.78,0.0,0.0
17235,16,1,2,0,1,0,0,706.0,22.66,1.42,2.83,0.0,1.42
17236,14,0,2,2,0,0,0,1522.0,9.2,0.0,1.31,1.31,0.0
17237,3,0,0,0,0,0,0,597.0,5.03,0.0,0.0,0.0,0.0
17239,5,0,0,0,0,0,0,448.0,11.16,0.0,0.0,0.0,0.0
17240,31,1,3,0,6,0,1,3228.0,9.6,0.31,0.93,0.0,1.86
17241,20,0,1,1,2,0,1,1567.0,12.76,0.0,0.64,0.64,1.28
17242,7,1,0,0,3,0,0,875.0,8.0,1.14,0.0,0.0,3.43
17243,17,0,0,0,2,0,0,1211.0,14.04,0.0,0.0,0.0,1.65
17244,6,0,0,1,0,0,0,687.0,8.73,0.0,0.0,1.46,0.0
17245,9,0,0,0,0,0,0,918.0,9.8,0.0,0.0,0.0,0.0
17246,4,0,1,0,0,0,0,540.0,7.41,0.0,1.85,0.0,0.0
17247,7,0,1,0,2,0,1,865.0,8.09,0.0,1.16,0.0,2.31
17248,24,0,5,1,3,0,0,913.0,26.29,0.0,5.48,1.1,3.29
17249,2,0,0,0,0,0,0,168.0,11.9,0.0,0.0,0.0,0.0
17250,4,0,1,1,1,0,0,483.0,8.28,0.0,2.07,2.07,2.07
17253,12,0,2,0,2,0,0,1359.0,8.83,0.0,1.47,0.0,1.47
17254,5,0,0,1,2,0,0,198.0,25.25,0.0,0.0,5.05,10.1
17255,7,0,0,0,1,0,0,795.0,8.81,0.0,0.0,0.0,1.26
17256,5,0,0,0,0,0,0,328.0,15.24,0.0,0.0,0.0,0.0
17257,7,0,1,0,1,0,0,663.0,10.56,0.0,1.51,0.0,1.51
17258,3,0,1,0,0,0,0,303.0,9.9,0.0,3.3,0.0,0.0
17260,3,0,0,0,1,0,0,439.0,6.83,0.0,0.0,0.0,2.28
17261,5,0,1,0,1,0,0,327.0,15.29,0.0,3.06,0.0,3.06
17262,13,0,0,0,0,0,0,1239.0,10.49,0.0,0.0,0.0,0.0
17263,3,1,0,0,1,0,0,583.0,5.15,1.72,0.0,0.0,1.72
17264,41,1,5,0,3,0,0,5798.0,7.07,0.17,0.86,0.0,0.52
17265,7,0,0,0,1,0,0,1222.0,5.73,0.0,0.0,0.0,0.82
17269,2,0,0,0,2,1,0,703.0,2.84,0.0,0.0,0.0,2.84
17270,3,0,0,0,1,1,0,612.0,4.9,0.0,0.0,0.0,1.63
17271,2,0,0,0,0,0,0,326.0,6.13,0.0,0.0,0.0,0.0
17273,3,0,0,0,0,0,0,978.0,3.07,0.0,0.0,0.0,0.0
17275,10,0,0,0,0,0,0,785.0,12.74,0.0,0.0,0.0,0.0
17278,5,0,0,0,0,1,0,790.0,6.33,0.0,0.0,0.0,0.0
17279,5,0,0,0,0,0,0,648.0,7.72,0.0,0.0,0.0,0.0
17280,5,0,1,0,1,0,0,788.0,6.35,0.0,1.27,0.0,1.27
17283,69,0,1,3,1,0,0,4273.0,16.15,0.0,0.23,0.7,0.23
17286,10,0,0,1,0,0,0,587.0,17.04,0.0,0.0,1.7,0.0
17287,3,0,0,0,0,0,0,277.0,10.83,0.0,0.0,0.0,0.0
17288,4,0,0,0,1,0,0,316.0,12.66,0.0,0.0,0.0,3.16
17289,7,1,0,0,0,0,1,431.0,16.24,2.32,0.0,0.0,0.0
17290,2,0,0,0,0,0,0,289.0,6.92,0.0,0.0,0.0,0.0
17291,35,0,1,1,3,2,3,6635.0,5.28,0.0,0.15,0.15,0.45
17292,6,0,2,1,1,0,0,517.0,11.61,0.0,3.87,1.93,1.93
17293,5,0,0,0,1,0,1,705.0,7.09,0.0,0.0,0.0,1.42
17294,1,0,0,0,0,0,0,190.0,5.26,0.0,0.0,0.0,0.0
17296,14,0,2,0,1,0,0,1058.0,13.23,0.0,1.89,0.0,0.95
17297,22,0,2,0,1,0,0,2374.0,9.27,0.0,0.84,0.0,0.42
17298,9,0,0,0,0,0,0,995.0,9.05,0.0,0.0,0.0,0.0
17300,1455,15,141,58,44,20,20,78535.0,18.53,0.19,1.8,0.74,0.56
17301,1,0,0,0,0,0,0,77.0,12.99,0.0,0.0,0.0,0.0
17302,10,0,2,0,2,0,1,606.0,16.5,0.0,3.3,0.0,3.3
17304,5,0,0,1,0,0,0,499.0,10.02,0.0,0.0,2.0,0.0
17305,2,0,0,0,0,0,0,417.0,4.8,0.0,0.0,0.0,0.0
17306,265,7,29,15,23,14,2,19029.0,13.93,0.37,1.52,0.79,1.21
17307,11,0,2,0,1,0,0,1404.0,7.83,0.0,1.42,0.0,0.71
17323,8,0,0,1,1,0,0,1315.0,6.08,0.0,0.0,0.76,0.76
17333,50,0,9,5,7,1,0,5170.0,9.67,0.0,1.74,0.97,1.35
17337,47,1,5,6,7,1,1,3948.0,11.9,0.25,1.27,1.52,1.77
17360,28,1,4,1,1,1,0,3372.0,8.3,0.3,1.19,0.3,0.3
17369,42,0,5,1,1,0,1,2263.0,18.56,0.0,2.21,0.44,0.44
17380,26,0,6,1,2,3,1,3918.0,6.64,0.0,1.53,0.26,0.51
17385,73,2,10,3,6,0,0,6627.0,11.02,0.3,1.51,0.45,0.91
17415,589,2,48,30,29,15,6,25518.0,23.08,0.08,1.88,1.18,1.14
17416,1,0,0,0,0,0,0,57.0,17.54,0.0,0.0,0.0,0.0
17418,5,0,0,0,1,0,0,608.0,8.22,0.0,0.0,0.0,1.64
17420,14,0,1,0,1,0,0,2350.0,5.96,0.0,0.43,0.0,0.43
17421,83,1,4,4,6,2,2,7183.0,11.56,0.14,0.56,0.56,0.84
17422,1,0,0,0,0,0,0,85.0,11.76,0.0,0.0,0.0,0.0
17423,1,0,0,0,0,0,0,71.0,14.08,0.0,0.0,0.0,0.0
17425,20,1,1,2,1,0,0,2479.0,8.07,0.4,0.4,0.81,0.4
17427,5,0,0,0,1,0,0,215.0,23.26,0.0,0.0,0.0,4.65
17428,4,0,1,0,1,0,0,495.0,8.08,0.0,2.02,0.0,2.02
17429,11,0,3,0,2,1,0,3641.0,3.02,0.0,0.82,0.0,0.55
17430,1,0,0,0,0,0,0,412.0,2.43,0.0,0.0,0.0,0.0
17431,3,0,0,0,1,0,1,732.0,4.1,0.0,0.0,0.0,1.37
17432,2,0,0,0,0,0,0,366.0,5.46,0.0,0.0,0.0,0.0
17433,1,0,0,0,0,0,0,202.0,4.95,0.0,0.0,0.0,0.0
17434,61,0,2,8,4,2,3,6825.0,8.94,0.0,0.29,1.17,0.59
17435,3,0,0,0,0,0,1,177.0,16.95,0.0,0.0,0.0,0.0
17436,11,1,3,0,3,0,0,776.0,14.18,1.29,3.87,0.0,3.87
17438,3,0,1,0,0,0,0,297.0,10.1,0.0,3.37,0.0,0.0
17439,2,0,0,0,0,0,0,772.0,2.59,0.0,0.0,0.0,0.0
17440,1,0,0,0,0,0,0,376.0,2.66,0.0,0.0,0.0,0.0
17441,4,0,0,0,0,0,0,1142.0,3.5,0.0,0.0,0.0,0.0
17442,3,0,1,1,0,0,0,377.0,7.96,0.0,2.65,2.65,0.0
17443,15,0,0,0,0,2,0,1837.0,8.17,0.0,0.0,0.0,0.0
17444,14,0,3,1,1,0,0,1705.0,8.21,0.0,1.76,0.59,0.59
17445,5,0,1,0,0,1,0,332.0,15.06,0.0,3.01,0.0,0.0
17446,1,0,0,0,1,0,0,465.0,2.15,0.0,0.0,0.0,2.15
17448,12,0,1,0,1,0,0,1183.0,10.14,0.0,0.85,0.0,0.85
17449,42,1,4,5,6,3,0,8195.0,5.13,0.12,0.49,0.61,0.73
17450,1,0,0,0,0,0,0,247.0,4.05,0.0,0.0,0.0,0.0
17452,50,3,5,2,7,1,1,4436.0,11.27,0.68,1.13,0.45,1.58
17453,17,0,1,0,0,0,0,1473.0,11.54,0.0,0.68,0.0,0.0
17458,4,0,1,0,1,0,0,186.0,21.51,0.0,5.38,0.0,5.38
17459,8,0,1,1,2,0,0,558.0,14.34,0.0,1.79,1.79,3.58
17460,11,1,2,0,1,1,0,837.0,13.14,1.19,2.39,0.0,1.19
17461,17,0,3,1,3,1,0,3996.0,4.25,0.0,0.75,0.25,0.75
17462,9,0,0,0,0,0,0,770.0,11.69,0.0,0.0,0.0,0.0
17463,5,0,0,0,0,0,0,1292.0,3.87,0.0,0.0,0.0,0.0
17466,11,0,2,0,1,0,1,2339.0,4.7,0.0,0.86,0.0,0.43
17467,2,0,0,0,0,0,0,235.0,8.51,0.0,0.0,0.0,0.0
17468,2,0,0,0,0,0,0,156.0,12.82,0.0,0.0,0.0,0.0
17469,6,0,0,0,1,0,0,577.0,10.4,0.0,0.0,0.0,1.73
