code_epci,puis_solaire_mw,nb_install_solaire,puis_solaire_kw_par_hab,nb_install_par_1000hab
200066850,9512.4,439,0.45,20.96
200066868,6251.1,377,0.28,16.81
200066876,51531.6,1138,0.65,14.41
200066884,52945.3,1026,2.33,45.07
200066892,56837.8,241,7.64,32.4
200066918,86987.5,5410,0.65,40.3
200066926,53583.6,1405,1.35,35.39
200066975,1393.3,46,0.06,1.85
200067023,9325.1,922,0.2,19.32
200067031,7008.2,473,0.32,21.4
200067049,3543.4,190,0.46,24.6
200067064,23746.1,623,1.31,34.34
200067072,17017.4,809,0.54,25.62
200067080,20538.7,300,1.41,20.55
200067106,115154.4,7510,0.36,23.33
200067114,37747.1,714,0.56,10.55
200067122,5842.3,468,0.52,41.76
200067130,23479.5,887,0.7,26.37
200067155,23867.1,621,1.76,45.8
200067163,22054.7,487,3.51,77.47
200067171,36956.3,509,3.69,50.88
200067189,31378.4,450,2.33,33.39
200067197,2456.6,121,0.32,15.75
200067205,17447.6,1783,0.1,10.02
200067213,76232.8,2396,0.26,8.07
200067239,46806.8,1706,1.61,58.7
200067247,9507.1,508,0.42,22.31
200067254,34939.3,2719,0.21,16.5
200067262,29385.6,1170,0.92,36.55
200067288,33498.2,1035,1.92,59.44
200067296,39413.9,1732,1.14,49.97
200067304,4695.0,461,0.2,19.62
200067320,24443.3,465,3.13,59.52
200067346,34784.1,2343,0.55,37.23
200067361,59542.6,2002,1.36,45.69
200067379,40925.9,373,3.58,32.62
200067429,21165.2,233,1.79,19.72
200067437,166167.0,1960,3.45,40.72
200067445,35203.4,619,3.69,64.85
200067452,4856.6,323,0.61,40.84
200067460,42019.5,1371,0.82,26.6
200067478,35872.4,836,1.81,42.18
200067486,15542.4,589,0.61,23.27
200067502,77576.3,879,1.49,16.86
200067544,76958.8,934,4.69,56.96
200067551,14984.3,2442,0.16,26.16
200067593,44928.8,647,3.42,49.28
200067627,16430.7,1016,0.63,39.1
200067635,45708.5,2021,0.8,35.57
200067643,8539.3,479,0.52,29.02
200067650,11434.4,636,0.5,27.79
200067668,64924.1,488,3.25,24.42
200067676,31620.9,729,1.16,26.71
200067684,18242.9,748,0.39,15.94
200067692,10457.7,294,1.1,31.05
200067700,52997.6,549,2.64,27.36
200067742,14182.1,836,0.84,49.61
200067759,1578.9,254,0.07,10.49
200067767,4601.9,432,0.48,44.93
200067783,95172.2,635,3.62,24.16
200067791,13560.8,1104,0.42,34.3
200067817,22382.0,1630,0.5,36.16
200067825,76574.9,1684,1.51,33.31
200067841,14689.4,657,0.61,27.2
200067866,20971.9,1585,0.42,32.01
200067874,296575.0,1858,3.01,18.84
200067882,39578.6,577,2.61,38.12
200067890,10282.6,340,0.85,28.03
200067908,15625.8,345,1.83,40.46
200067916,66619.9,580,2.69,23.38
200067924,58246.7,1270,1.2,26.09
200067932,35308.4,2947,0.2,16.82
200067940,14211.9,862,0.47,28.75
200067957,5647.3,284,0.29,14.76
200067965,17796.8,265,0.21,3.19
200067973,4017.5,536,0.06,8.57
200067981,21934.9,1205,0.3,16.38
200067999,18602.1,526,0.18,5.06
200068005,5023.6,348,0.24,16.62
200068047,49532.7,246,0.56,2.77
200068070,9348.8,858,0.37,33.86
200068088,13874.8,375,0.7,19.04
200068096,15894.1,658,1.39,57.67
200068104,181811.3,4974,1.78,48.77
200068112,154154.3,733,4.31,20.49
200068120,20518.7,997,0.2,9.81
200068146,30292.1,1226,0.67,27.06
200068229,14164.4,1083,0.68,51.94
200068278,24834.8,254,1.41,14.39
200068294,6070.4,553,0.39,35.33
200068369,12345.7,608,0.67,32.76
200068377,9981.6,662,0.34,22.76
200068435,4961.2,198,0.45,17.82
200068443,7334.9,343,0.57,26.49
200068450,12812.8,552,0.39,16.61
200068468,12991.2,543,0.52,21.56
200068484,44336.7,714,3.05,49.05
200068500,61254.4,978,0.76,12.15
200068534,6762.6,499,0.18,13.19
200068542,64596.1,3170,0.83,40.59
200068559,19150.9,591,0.83,25.54
200068567,37365.9,2506,0.58,39.15
200068625,10523.1,482,0.92,42.33
200068641,81244.1,4764,0.64,37.69
200068658,32176.8,709,0.73,16.12
200068666,71881.8,793,1.28,14.14
200068674,21832.0,2108,0.28,26.74
200068682,13959.8,487,0.81,28.27
200068757,31095.4,2469,0.28,22.37
200068765,156222.6,1414,6.17,55.86
200068773,14804.6,407,1.27,34.9
200068781,175269.2,8022,0.78,35.85
200068799,16449.7,842,0.36,18.21
200068807,35995.8,1536,1.07,45.59
200068815,43511.1,1534,1.24,43.81
200068831,42376.5,1071,2.33,58.91
200068856,2886.2,173,0.36,21.75
200068864,56090.3,594,2.27,23.99
200068872,36203.0,472,1.86,24.31
200068880,18940.2,342,1.95,35.26
200068914,69784.2,873,3.21,40.1
200068922,45083.1,939,2.52,52.46
200068930,22772.7,1023,0.93,41.57
200068948,60911.5,1318,2.36,50.97
200068955,30241.0,745,1.07,26.48
200068963,10743.5,536,0.49,24.64
200068989,33377.7,1933,0.34,19.45
200068997,11592.0,1557,0.19,25.21
200069003,12624.6,525,0.69,28.56
200069029,8328.0,749,0.13,11.39
200069037,12904.0,1427,0.12,13.6
200069052,54828.5,1475,0.54,14.61
200069060,2657.5,408,0.18,27.08
200069086,11232.4,648,0.35,20.39
