CODGEO,variete_equip,nb_equip_total,densite_equip_1000hab
77384,18,28,14.24
77385,32,61,26.65
77386,9,12,19.48
77387,9,11,23.45
77388,10,14,17.16
77389,29,67,17.31
77390,64,381,16.52
77391,7,7,14.2
77392,16,20,19.9
77393,39,81,28.73
77394,27,55,16.8
77395,4,4,32.79
77396,3,3,30.0
77397,22,52,27.9
77398,9,15,20.13
77400,16,33,18.13
77401,6,8,11.8
77402,5,7,20.71
77403,9,12,14.81
77404,16,26,14.5
77405,22,42,21.49
77406,8,19,18.77
77407,60,322,22.18
77408,3,4,8.73
77409,19,39,13.79
77410,10,11,14.84
77411,6,9,16.16
77412,6,8,21.22
77413,32,87,22.42
77414,11,12,24.79
77415,24,36,28.02
77416,7,9,35.29
77417,3,3,12.05
77418,7,8,9.21
77419,28,69,20.9
77420,40,109,28.33
77421,6,8,31.75
77423,8,17,25.88
77424,4,5,18.52
77425,11,17,23.16
77426,6,7,21.02
77427,11,16,26.1
77428,11,12,14.41
77429,7,8,15.09
77430,31,86,13.53
77431,40,121,22.34
77432,14,22,22.43
77433,18,56,27.52
77434,4,5,13.85
77435,19,28,25.39
77436,12,22,24.23
77437,42,105,29.29
77438,44,169,26.97
77439,14,18,15.37
77440,16,31,27.12
77441,25,51,25.37
77442,27,43,17.72
77443,9,10,25.71
77444,5,5,15.11
77445,65,450,14.75
77446,4,6,10.12
77447,17,29,15.9
77448,20,29,50.7
77449,64,484,49.87
77450,44,183,53.89
77451,10,11,18.27
77452,2,2,29.85
77453,18,31,27.63
77454,6,8,22.28
77455,20,51,25.17
77456,11,12,14.42
77457,17,30,24.37
77458,44,138,26.98
77459,19,29,19.12
77460,4,5,14.97
77461,3,3,9.97
77462,11,17,18.85
77463,30,57,16.71
77464,50,209,20.09
77465,12,15,23.33
77466,4,6,15.96
77467,4,4,20.1
77468,68,418,18.62
77469,14,25,20.48
77470,50,200,23.98
77471,7,12,35.19
77472,8,10,20.88
77473,9,10,23.75
77474,13,20,29.24
77475,35,106,20.86
77476,5,5,21.93
77477,22,25,28.94
77478,14,20,18.62
77479,58,198,14.65
77480,15,22,21.15
77481,5,6,32.09
77482,54,154,41.76
77483,23,46,21.69
77484,1,1,3.5
77485,14,16,21.86
77486,12,24,27.06
77487,51,253,22.64
77489,3,3,12.82
77490,7,12,17.6
77492,7,12,18.93
77493,34,64,20.01
77494,31,69,26.48
77495,49,159,18.02
77496,6,7,37.04
77498,8,8,25.16
77500,7,8,17.39
77501,12,16,22.16
77504,11,24,22.18
77505,5,8,20.67
77506,13,16,20.57
77507,7,7,15.95
77508,25,53,28.34
77509,7,12,19.48
77510,11,17,12.16
77511,12,17,27.07
77512,22,33,29.05
77513,36,87,17.33
77514,64,529,19.72
77515,13,17,24.32
77516,10,16,19.32
77517,20,86,40.34
77518,30,82,344.54
77519,24,36,30.9
77520,16,20,30.26
77521,16,44,21.48
77522,7,8,27.49
77523,3,3,11.76
77524,6,11,21.36
77525,6,9,23.62
77526,5,5,18.18
77527,10,14,24.26
77528,23,30,25.71
77529,12,27,18.01
77530,6,6,19.74
77531,25,55,33.7
77532,3,3,42.86
77533,37,64,23.43
77534,13,25,26.1
78003,33,74,19.92
78005,64,324,15.16
78006,8,9,13.93
78007,16,20,18.47
78009,8,13,46.1
78010,20,34,26.71
78013,8,9,17.86
78015,49,182,13.76
78020,18,20,21.28
78029,59,288,23.38
78030,23,32,16.21
78031,9,12,18.32
78033,12,25,21.99
78034,17,29,29.26
78036,7,10,15.72
78043,30,64,17.53
78048,17,26,17.86
78049,15,28,16.52
78050,7,8,11.87
78053,8,11,22.09
78057,17,33,17.96
78062,45,137,17.99
78068,9,15,16.87
78070,7,9,31.36
78071,8,15,24.83
78072,5,8,32.65
78073,60,301,19.5
78076,7,7,24.82
78077,20,22,29.18
78082,10,18,28.48
78084,9,11,17.54
78087,25,37,17.43
78089,46,136,26.99
78090,22,59,26.66
78092,44,158,17.5
78096,6,8,15.87
78104,15,21,27.52
78107,40,63,33.02
78108,16,25,19.07
78113,12,16,23.43
78117,45,132,22.3
78118,51,201,60.18
78120,26,33,17.24
78123,58,259,14.14
78124,54,277,18.42
78125,15,21,25.45
78126,70,321,15.68
78128,27,37,24.09
78133,59,195,34.0
78138,45,182,16.95
78140,12,24,17.86
78143,20,35,23.1
78146,69,457,15.41
78147,9,10,21.46
78152,26,36,20.62
78158,73,561,18.14
78160,46,101,18.24
78162,10,13,24.34
78163,12,15,42.02
78164,25,36,42.86
78165,69,436,25.29
78168,50,359,82.02
78171,16,22,17.6
78172,77,690,19.21
78185,2,3,7.85
78188,5,6,14.39
78189,25,35,20.56
78190,52,159,15.29
78192,19,36,25.82
78193,17,25,25.0
78194,6,6,26.91
78196,9,10,35.46
78202,11,18,32.32
78206,39,102,24.85
78208,58,354,13.57
78209,10,14,15.71
78217,47,157,23.84
78220,50,121,17.86
78224,28,46,9.84
78227,11,18,23.35
78230,5,6,9.63
78231,5,5,31.45
78233,29,52,17.22
78234,5,6,32.26
78236,10,12,20.83
78237,4,4,25.32
78238,47,147,60.64
78239,20,50,23.01
78242,46,191,14.2
78245,6,8,18.82
78246,14,21,22.15
78255,39,112,26.14
78261,11,13,19.2
78262,14,27,21.38
78263,25,53,21.62
78264,2,2,32.26
78265,28,65,25.88
78267,46,165,20.98
78269,29,58,45.03
78276,9,13,20.34
78278,13,19,34.61
78281,11,14,22.01
78283,4,8,27.49
78285,9,9,16.64
78289,9,15,16.76
78290,14,25,23.26
78291,26,47,22.13
78296,13,16,25.48
78297,69,391,13.3
78299,34,113,45.56
78300,7,8,18.43
78302,7,8,49.08
78305,3,4,16.88
78307,16,19,20.19
78310,62,182,49.2
78311,70,599,17.91
78314,26,60,15.27
78317,11,18,23.17
78320,15,25,35.36
78321,40,125,21.5
78322,51,141,17.79
78324,10,11,19.75
78325,10,14,22.84
78327,32,99,24.9
78329,17,21,26.35
78334,16,25,15.56
78335,58,337,19.12
78337,20,48,23.7
78343,20,24,14.58
78344,5,7,10.89
78346,24,42,27.2
78349,6,13,25.95
78350,54,122,16.13
78354,39,111,18.03
78356,42,141,15.02
78358,67,379,16.42
78361,80,1010,22.68
78362,62,397,18.57
78364,14,19,24.42
78366,6,6,14.78
78367,27,44,11.5
78368,27,40,23.41
78372,61,220,13.31
78380,53,157,26.06
78381,27,44,41.94
78382,31,58,13.32
78383,68,366,19.67
78384,16,29,21.94
78385,5,5,23.15
78389,31,61,36.59
78391,5,6,15.92
78396,44,104,16.45
78397,47,129,18.62
78398,14,16,18.26
78401,56,227,25.11
78402,37,89,23.26
78403,22,46,20.11
78404,7,7,24.56
78406,6,6,20.83
78407,7,10,15.6
78410,15,30,32.05
78413,7,7,17.59
78415,10,18,33.9
78416,6,7,21.94
78417,6,6,20.34
78418,63,326,22.47
78420,47,105,36.59
78423,77,644,20.27
78431,25,48,15.57
78437,9,11,16.08
78439,3,3,28.3
78440,73,617,18.16
78442,29,71,21.26
78443,15,18,19.76
78444,14,19,22.2
78451,19,28,25.85
78455,46,132,17.3
78460,15,22,20.09
78464,16,23,23.12
78465,35,77,31.05
78466,52,255,36.7
78470,11,18,20.45
78472,11,12,36.7
78474,9,13,13.74
78475,5,6,14.85
78478,7,8,36.53
78481,54,235,14.84
78484,13,14,21.28
78486,44,156,23.84
78490,79,573,18.26
78497,11,13,14.44
78498,80,737,18.42
78499,16,19,27.3
78501,27,66,20.87
78502,43,93,16.58
78505,6,8,19.46
78506,13,14,16.65
78513,45,86,36.12
78516,16,18,17.8
78517,79,595,22.19
78518,1,1,9.09
78520,22,36,22.96
78522,10,13,14.72
78528,6,11,30.9
78530,8,11,29.18
78531,38,146,21.07
78536,10,11,32.35
78537,47,146,24.87
78545,60,326,15.55
78548,3,3,6.77
78550,17,43,23.36
78551,84,1060,23.88
78557,10,15,15.35
78558,10,13,35.42
78559,7,7,16.51
78561,11,15,33.78
78562,18,21,14.87
78564,11,11,16.22
78565,8,9,29.61
78567,16,21,22.6
78569,18,23,25.19
78571,42,98,20.06
78575,44,117,15.1
78576,18,35,20.98
78586,74,998,19.48
78588,14,24,24.87
78590,10,12,23.95
78591,32,58,25.53
78597,12,18,25.25
78601,23,34,20.86
78605,16,20,17.5
78606,1,1,26.32
78608,4,5,41.32
78609,18,29,29.06
78615,19,24,20.13
78616,30,48,33.52
78618,8,10,19.34
78620,15,21,18.15
78621,68,583,17.29
78623,18,25,26.12
78624,50,239,19.29
78638,33,103,20.26
78640,72,603,26.55
78642,55,223,14.01
78643,53,179,17.86
78644,33,77,12.45
78646,83,1829,21.88
78647,12,16,18.8
78650,58,360,23.01
78653,4,5,13.12
78655,13,17,27.78
78668,11,13,19.7
78672,45,109,19.37
78674,51,175,15.7
78677,7,10,18.94
78681,8,9,10.51
78683,35,72,23.47
78686,67,249,14.68
78688,53,167,15.58
91001,9,10,30.12
91016,53,140,31.85
91017,20,39,22.53
91021,65,360,31.91
91022,3,3,24.59
91027,76,695,19.19
91035,11,13,34.95
91037,10,10,30.58
91038,19,31,24.28
91041,28,62,60.19
91044,38,103,21.68
91045,49,172,22.17
91047,17,28,19.77
91064,41,113,23.8
91067,3,3,27.03
91069,8,11,28.72
91075,2,2,24.39
91079,13,14,27.08
91080,18,30,22.14
91081,9,17,24.71
91085,30,69,18.03
91086,41,196,18.04
91093,12,14,21.91
91095,24,37,17.79
91097,54,149,18.67
91098,8,8,18.6
91099,30,65,22.03
91100,10,14,21.6
91103,76,584,21.55
91105,49,177,19.95
91106,14,29,22.64
91109,18,35,28.0
91111,39,87,25.74
91112,2,3,24.39
91114,72,466,18.33
91115,31,84,23.44
91121,8,13,26.37
91122,41,126,13.62
91129,27,74,22.12
91130,18,23,22.31
91131,13,15,39.16
91132,10,16,14.3
91135,28,52,17.97
91136,26,106,40.82
91137,4,5,13.77
91145,1,1,14.08
91148,5,5,36.5
91156,23,41,18.48
91159,18,30,19.35
91161,67,447,22.42
91174,80,1358,25.78
91175,25,37,21.69
91179,36,75,15.58
91180,7,9,27.69
91184,6,8,28.78
91186,12,13,22.57
91191,47,186,19.51
91195,12,21,24.91
91198,16,27,17.83
