code_epci,libepci,n_communes,n_ecoles_c108,n_equipements,n_carreaux,pop_insee,pct_habitat_zone_ecole_15,pct_equipements_zone_ecole_15
243400769,CA de Béziers-Méditerranée,17,22,799,1863,122912,78.54,73.22
243400819,CA Hérault-Méditerranée,20,20,575,1938,82762,59.65,61.22
243500139,Rennes Métropole,43,89,1909,6714,407291,93.92,89.94
243500550,CC Montfort Communauté,8,8,146,1451,25625,78.76,88.36
243500618,CC de Brocéliande,8,12,109,1411,18404,66.05,88.99
243500634,CC Au Pays de la Roche aux Fées,16,15,182,2091,25288,70.75,78.02
243500659,CC Pays de Châteaugiron Communauté,5,10,135,1096,25700,88.22,92.59
243500667,CC du Val d'Ille-Aubigné,19,19,208,2121,36374,74.06,83.65
243500725,CC Côte d'Émeraude,9,11,200,1149,31750,87.94,86.5
243500733,CC Bretagne Romantique,25,23,227,2669,33838,60.6,85.9
243500741,CA Redon Agglomération,31,52,437,5663,63528,62.14,87.64
243500774,CC Liffré-Cormier Communauté,9,14,167,1457,26520,78.3,91.02
243500782,CA du Pays de Saint-Malo - Saint-Malo Agglomération,18,36,475,2229,84286,87.74,91.58
243600202,CC Chabris - Pays de Bazelle,10,2,55,695,5588,16.4,21.82
243600236,CC du Pays d'Issoudun,12,6,157,708,17470,57.64,60.51
243600293,CC de la Région de Levroux,10,3,65,620,5791,65.11,61.54
243600301,CC Val de l'Indre - Brenne,12,6,117,973,12128,51.84,64.1
243600319,CC Brenne - Val de Creuse,28,10,190,1761,15522,49.96,60.0
243600327,CA Châteauroux Métropole,14,13,535,1833,66195,63.04,64.3
243600343,CC Coeur de Brenne,11,2,54,748,4182,15.43,27.78
243600350,CC de la Châtre et Sainte-Sévère,30,7,174,2048,13522,43.36,54.6
243700499,CC du Castelrenaudais,16,10,134,1137,13394,41.58,38.81
243700754,Tours Métropole Val de Loire,22,43,1444,3612,247306,79.05,75.76
243700820,CC de Bléré Val de Cher,15,6,177,1322,20584,40.4,45.76
243800604,CA Porte de l'Isère (C.A.P.I),22,35,642,1963,95525,80.94,82.24
243800745,CC de l'Oisans,19,7,171,544,8960,39.21,50.29
243800778,CC du Pays Roussillonnais,22,21,369,1600,44519,69.88,68.83
243800844,CC du Territoire de Beaurepaire,15,12,145,1201,14521,71.29,82.07
243800935,CC Lyon Saint-Éxupéry-en-Dauphiné,6,8,170,428,25031,80.52,69.41
243800984,CA du Pays Voironnais,31,30,641,3060,88925,76.9,79.88
243801024,CC du Massif du Vercors,6,3,111,745,12432,14.28,16.22
243801073,CC de Bièvre Est,14,13,182,822,21332,74.6,70.33
243801255,CC des Collines du Nord Dauphiné,10,8,211,1080,22698,60.46,62.09
243900354,CC de la Station des Rousses-Haut Jura,4,4,61,426,7118,66.18,86.89
243900412,CC Jura Sud,17,7,74,340,6622,57.44,68.92
243900420,CC du Val d'Amour,24,8,103,561,7814,55.11,63.11
243900479,CC du Haut-Jura (Arcade),4,4,71,404,8377,74.53,91.55
243900560,CC Jura Nord,32,9,114,583,10686,51.33,57.02
243900610,CC La Grandvallière,8,5,58,439,5308,29.04,15.52
243900719,CC du Pays des Lacs,30,3,92,444,5492,20.66,29.35
243901071,CC de la Région d'Orgelet,25,3,72,445,5462,20.48,12.5
243901089,CC de la Plaine Jurassienne,21,4,89,739,8350,26.46,22.47
244000543,CC de Mimizan,6,7,88,848,11778,67.15,73.86
244000659,CC du Seignanx,8,5,135,1155,28598,12.48,24.44
244000675,CA du Grand Dax,20,16,350,2109,54102,75.47,79.71
244000691,CC du Pays Morcenais,6,5,87,869,8312,26.41,31.03
244000766,CC du Pays Tarusate,17,7,142,2018,17361,42.46,51.41
244000774,CC du Pays de Villeneuve en Armagnac Landais,12,2,59,903,5632,11.23,11.86
244000808,CA Mont-de-Marsan Agglomération,18,10,308,2164,47830,57.04,59.09
244000824,CC du Pays Grenadois,11,5,62,834,6886,51.21,70.97
244000857,CC Côte Landes Nature,10,6,118,1246,12804,65.01,70.34
244000865,CC Maremne Adour Côte Sud,23,26,452,3501,73144,75.72,76.11
244000873,CC des Grands Lacs,7,4,187,1445,29695,11.02,13.37
244000881,CC Coteaux et Vallées des Luys,16,3,75,1142,7046,33.29,44.0
244100293,CC des Collines du Perche,12,5,65,879,5210,50.98,67.69
244100780,CC de la Sologne des Étangs,11,5,81,867,7430,47.65,51.85
244100798,CC du Grand Chambord,17,9,148,1283,20240,32.73,41.89
244100806,CC de la Sologne des Rivières,8,7,107,759,10812,81.78,83.18
244200614,CC des Vals d'Aix et Isable,12,5,68,852,5633,42.06,47.06
244200622,CC des Monts du Pilat,16,15,140,1236,13912,69.82,82.86
244200630,CC du Pays entre Loire et Rhône,16,15,127,1349,12778,72.68,82.68
244200770,Saint-Etienne Métropole,53,141,2248,5957,355066,95.64,96.09
244200820,CC du Pays d'Urfé,11,5,75,725,4592,44.58,52.0
244200895,CC du Pilat Rhodanien,14,13,129,1028,15858,77.84,88.37
244300307,CC du Pays de Montfaucon,8,11,97,806,7505,64.81,82.47
244301016,CC des Sucs,9,12,163,1531,17748,61.64,74.23
244301032,CC Brioude Sud Auvergne,27,15,173,1083,16010,74.53,77.46
244301099,CC Auzon Communauté,12,8,83,445,8316,74.48,77.11
244301107,CC du Haut-Lignon,6,5,91,1028,7632,54.99,83.52
244301123,CC des Pays de Cayres et de Pradelles,20,6,93,587,4640,46.37,58.06
244301131,CC Loire et Semène,7,10,146,769,19348,75.5,81.51
244400404,Nantes Métropole,24,116,2705,6137,585062,89.59,89.83
244400438,CC de Grand Lieu,9,15,239,1672,40185,64.63,82.01
244400453,CC de la Région de Blain,4,10,88,972,16192,69.28,93.18
244400503,CC d'Erdre et Gesvres,12,23,310,3395,65605,60.1,80.65
244400537,CC de Nozay,7,13,108,1257,15526,58.76,89.81
244400552,CC du Pays d'Ancenis,20,45,484,4306,66066,67.38,88.43
244400586,CC du Sud-Estuaire,6,13,177,1337,29678,75.35,91.53
244400610,CA de la Presqu'île de Guérande Atlantique (Cap Atlantique),15,34,475,3368,79157,70.99,91.79
244400644,CA de la Région Nazairienne et de l'Estuaire (Carene),10,37,569,2267,126170,86.06,92.44
244500203,CA Montargoise et Rives du Loing (A.M.E.),15,18,377,1556,54070,79.0,75.33
244500211,CC Giennoises,11,11,163,1219,23240,78.36,79.14
244500419,CC des Quatre Vallées,19,6,129,1082,15595,52.83,54.26
244500427,CC des Loges,20,9,292,2204,41524,40.16,42.81
244500468,Orléans Métropole,22,39,1387,2946,247572,80.4,80.53
244500484,CC de la Forêt,10,4,93,781,17264,49.15,52.69
244500542,CC de la Plaine du Nord Loiret,15,3,56,411,6650,24.23,33.93
244600433,CC de la Vallée du Lot et du Vignoble,27,5,160,1952,11852,25.74,33.12
244600482,CC Quercy - Bouriane,20,3,104,1580,9040,14.69,19.23
244600532,CC du Pays de Lalbenque-Limogne,23,4,107,1395,7593,24.28,41.12
244600573,CC du Causse de Labastide-Murat,17,2,52,766,3033,19.07,25.0
244700449,CC du Pays de Duras,17,3,62,1013,4458,30.89,50.0
244700464,CC du Pays de Lauzun,20,7,109,1395,8100,55.68,66.97
244701355,CC des Coteaux et Landes de Gascogne,27,6,113,1593,10234,47.31,60.18
244701405,CC Lot et Tolzac,15,3,90,1145,5715,17.5,36.67
244800405,CC Coeur de Lozère,7,9,137,434,14286,84.67,83.94
244800470,CC du Gévaudan,12,8,95,558,8406,77.18,78.95
244900015,CU Angers Loire Métropole,29,108,1523,5198,264028,92.55,94.88
244900809,CC Anjou Bleu Communauté,11,39,313,2760,32745,79.22,91.69
244900882,CC Baugeois Vallée,7,23,235,3375,30815,57.75,76.6
245100615,CC de la Grande Vallée de la Marne,14,5,123,398,13496,25.98,24.39
245100888,CC de la Brie Champenoise,19,3,62,538,6758,48.03,62.9
245100979,CC du Sud Marnais,14,1,62,335,5738,14.37,12.9
245200597,CC des Trois Forêts,29,5,112,497,6968,21.16,24.11
245300223,CC du Pays de Meslay-Grez,22,16,139,1506,12812,63.35,79.14
245300306,CC du Pays de Loiron,14,14,147,1255,15938,65.16,71.43
245300330,CA de Laval,20,40,639,2585,91219,93.03,92.02
245300355,CC de l'Ernée,15,16,203,2184,19098,67.27,85.71
245300389,CC du Bocage Mayennais,27,16,184,2521,16765,60.52,86.41
245300447,CC du Pays de Château-Gontier,16,19,230,1989,28996,74.96,82.17
245400171,CC Moselle et Madon,19,8,165,527,24934,43.78,38.18
245400189,CC des Pays du Sel et du Vermois,16,4,168,506,27512,11.88,13.69
245400262,CA de Longwy,21,19,360,788,48957,68.13,65.83
245400510,CC du Pays de Colombey et du Sud Toulois,38,9,129,439,10708,54.44,48.06
245400601,CC du Bassin de Pompey,13,8,215,565,34596,61.7,60.0
245400676,Métropole du Grand Nancy,20,25,1239,1323,182521,76.44,77.89
245400759,CC du Pays du Sanon,28,3,75,310,5694,31.48,36.0
245500327,CC du Sammiellois,19,5,87,316,7138,65.09,62.07
245501176,CC du Territoire de Fresnes-en-Woëvre,32,0,70,327,4578,,
245501184,CC du Pays de Revigny-sur-Ornain,16,5,79,325,6580,66.42,64.56
245501242,CC du Pays d'Étain,26,2,82,323,6838,10.36,12.2
245501259,CC du Pays de Montmédy,25,3,79,340,6062,19.78,15.19
245600440,CC de Blavet Bellevue Océan,5,10,97,978,17984,74.98,82.47
245600465,CC de Belle-Ile-en-Mer,4,5,48,523,5392,62.26,85.42
245614383,CC Questembert Communauté,13,20,181,2167,23204,64.35,92.27
245614417,CC Roi Morvan Communauté,21,28,259,3577,22952,58.44,86.49
245614433,CC Pontivy Communauté,24,42,379,3640,41018,75.52,90.24
245700133,CC du District Urbain de Faulquemont (Duf),33,9,215,704,20666,34.58,28.84
245700372,CA de Forbach Porte de France,21,24,468,1086,64128,86.63,87.39
245700398,CC de Freyming-Merlebach,11,9,209,505,25466,80.96,76.08
245700695,CC de Cattenom et Environs,20,12,134,634,23208,47.53,50.0
245700950,CC du Pays de Phalsbourg,26,12,170,696,15236,66.72,67.06
245701164,CC du Warndt,5,8,123,297,15462,98.23,86.18
245701206,CC du Saulnois,128,13,388,1480,25973,29.97,29.9
245701222,CA du Val de Fensch,10,10,318,616,55342,64.3,66.67
245701271,CC du Pays Orne Moselle,13,10,250,594,46878,59.86,62.0
245701354,CC de l'Arc Mosellan,26,13,200,766,32936,70.87,74.0
245701362,CA Portes de France-Thionville,13,22,474,831,72104,91.98,90.3
245701404,CC du Pays Haut Val d'Alzette,8,10,133,349,20274,90.03,92.48
245801063,CC Loire et Allier,6,5,61,542,6460,66.69,80.33
245804406,CA de Nevers,13,21,393,1396,55354,84.47,87.53
245804497,CC du Nivernais Bourbonnais,9,3,57,671,4575,46.52,70.18
245900410,Métropole Européenne de Lille,90,276,4657,7460,926663,98.72,98.69
245900428,CU de Dunkerque,17,45,881,1817,174191,96.31,95.57
245900758,CC Flandre Lys,8,14,214,1264,37121,84.18,91.12
245901038,CC du Pays Solesmois,15,9,98,392,13040,86.92,88.78
245901061,CC de la Haute-Deûle,5,7,89,245,21858,94.86,97.75
245901152,CC Coeur d'Ostrevent [C.C.C.O.],21,24,355,1036,59710,71.87,68.73
245901160,CA Valenciennes Métropole,35,43,948,2109,150708,77.96,80.59
246000129,CC du Liancourtois,10,7,111,330,18822,86.91,87.39
246000376,CC du Clermontois,19,8,212,676,32546,51.36,54.25
246000566,CC du Plateau Picard,52,14,253,892,27961,34.02,40.71
246000582,CC des Sablons,19,12,201,763,36446,62.3,66.17
246000707,CC du Vexin-Thelle,35,10,163,776,18336,39.33,41.72
246000749,CC des Lisières de l'Oise,20,8,121,601,14162,50.96,58.68
246000756,CC du Pays Noyonnais,42,13,228,978,28810,66.36,66.67
246000764,CC de l'Aire Cantilienne,11,11,261,779,38511,65.72,78.16
246000772,CC des Deux Vallées,16,13,159,498,19954,83.33,89.31
246000848,CC de la Picardie Verte,88,21,282,1768,28984,43.15,43.97
246000855,CC du Pays des Sources,48,12,188,964,20188,41.67,36.7
246000871,CC du Pays de Valois,62,19,404,1358,53540,49.77,46.78
246000897,CC de la Plaine d'Estrées,19,7,136,477,16706,47.15,40.44
246000913,CC du Pays de Bray,23,10,117,899,16966,40.39,58.97
246000921,CC des Pays d'Oise et d'Halatte,17,13,195,620,30558,80.82,81.54
246100390,CC du Val d'Orne,17,4,51,938,5024,25.34,49.02
246100663,CU d'Alençon,31,35,408,2236,47493,85.57,89.95
246200299,CA d'Hénin-Carvin,14,18,547,1093,105186,89.05,91.22
246200364,CA de Lens - Liévin,36,23,1128,2348,193083,53.82,57.89
246200380,CC de la Terre des Deux Caps,21,14,154,874,19809,81.14,86.36
246200729,CA du Boulonnais,22,29,564,1314,87748,93.24,95.39
246200844,CC de la Région d'Audruicq,15,14,132,1461,24424,59.77,67.42
246201016,CC du Pays de Lumbres,36,12,157,1165,21886,48.12,56.69
246201149,CA du Calaisis,10,37,465,1004,89252,95.94,95.27
246300701,Clermont Auvergne Métropole,21,19,1518,2455,244210,70.03,65.22
246300966,CC du Massif du Sancy,20,7,159,1038,8606,51.0,62.26
246301097,CC Entre Dore et Allier,14,10,134,1157,18042,58.28,74.63
246400337,CC de la Vallée d'Ossau,18,6,108,742,8506,50.48,54.63
246401756,CC Pays de Nay,29,21,247,1579,24966,69.96,79.35
246500482,CC de la Haute-Bigorre,25,9,147,1092,14091,72.64,74.15
246500573,CC Aure-Louron,46,5,141,423,5064,44.07,45.39
246600282,CC Sud-Roussillon,6,1,150,410,23850,27.75,22.0
246600373,CC du Vallespir,10,1,168,714,19927,2.44,4.17
246600399,CC Pyrénées Cerdagne,19,8,127,407,7496,69.58,65.35
246600415,CC Roussillon-Conflent,16,5,146,563,17562,35.08,36.3
246600423,CC Agly Fenouillèdes,22,5,97,272,5496,46.57,39.18
246600449,CC des Aspres,19,9,164,703,21258,44.47,40.85
246600464,CC Pyrénées Catalanes,19,3,104,378,5344,46.92,38.46
246600548,CC du Haut Vallespir,14,5,110,575,8344,53.45,51.82
246700306,CC de la Vallée de la Bruche,26,16,171,738,15478,76.0,83.63
246700488,Eurométropole de Strasbourg,33,42,2244,2424,412664,82.27,76.2
246700744,CC des Portes de Rosheim,9,6,87,369,16602,56.88,63.22
246700777,CC de la Vallée de Villé,18,9,95,419,8678,74.0,89.47
246700843,CC de la Basse-Zorn,7,3,107,296,16423,20.42,18.69
246700926,CC du Pays de Wissembourg,12,11,112,418,14868,67.26,64.29
246700959,CC du Pays de la Zorn,20,5,129,433,15901,30.55,29.46
246700967,CC de Sélestat,12,7,251,590,35392,21.66,23.51
246701064,CC de la Région de Molsheim-Mutzig,18,10,275,672,36394,46.46,46.55
246701080,CC du Pays de Sainte-Odile,6,5,137,281,18825,84.88,86.13
246701098,CC du Pays de Niederbronn-les-Bains,13,9,142,626,20408,50.25,45.77
246800205,CC de la Vallée de Saint-Amarin,15,9,101,490,10440,80.76,85.15
246800395,CC du Val d'Argent,4,2,63,386,7379,64.75,63.49
246800445,CC du Centre du Haut-Rhin,9,5,96,318,14096,30.18,33.33
246800494,"CC du Pays de Rouffach, Vignobles et Châteaux",11,5,85,297,11805,42.96,41.18
246800551,CC de la Vallée de Kaysersberg,8,8,115,853,15119,71.97,81.74
246800569,CC de la Région de Guebwiller,19,12,225,674,32828,63.53,70.67
246800577,CC du Pays de Ribeauvillé,16,10,143,460,16638,85.02,79.02
246800585,CC de la Vallée de Munster,16,7,116,637,13741,69.31,67.24
246800676,CC de la Vallée de la Doller et du Soultzbach,15,11,132,524,15012,71.55,68.18
246800726,CA Colmar Agglomération,20,19,629,1160,98284,83.52,73.61
246900575,CC de l'Est Lyonnais (Ccel),8,8,318,823,40809,46.93,38.99
246900625,CC du Pays de l'Arbresle (Ccpa),17,21,252,1612,35534,87.02,91.67
246900724,CC des Vallons du Lyonnais (Ccvl),8,8,178,1051,29823,52.24,64.04
246900740,CC du Pays Mornantais (Copamo),11,13,204,1094,27812,58.92,61.76
246900757,CC de la Vallée du Garon (Ccvg),5,8,177,613,30442,93.68,90.96
246900765,CC du Pays de l'Ozon,7,4,183,612,24665,40.95,36.61
247000011,CA de Vesoul,20,10,283,613,27255,74.13,76.68
247000367,CC des Combes,27,6,85,428,7263,50.1,52.94
247000623,CC des Quatre Rivières,41,6,131,740,8918,43.44,45.04
247000664,CC du Pays de Lure,24,10,166,792,18040,74.36,66.87
247000698,CC des Monts de Gy,25,5,84,393,5880,42.0,50.0
247000706,CC du Pays Riolais,33,8,128,670,12440,45.83,53.91
247000714,CC du Pays de Villersexel,34,5,109,502,7163,46.35,55.05
247000722,CC du Pays d'Héricourt,23,13,153,668,20292,86.4,86.93
247000755,CC du Pays de Luxeuil,15,11,145,595,13242,76.56,84.83
247000821,CC Rahin et Cherimont,9,5,80,669,11050,42.88,56.25
247000854,CC de la Haute Vallée de l'Ognon,25,6,94,1063,7348,43.89,55.32
247100290,CU Le Creusot Montceau-les-Mines,34,28,584,3438,77483,59.1,62.67
247100589,CA Le Grand Chalon,51,42,755,2699,103282,83.48,83.44
