codgeo,libgeo,revenu_median,taux_pauvrete,rapport_interdecile,decile1,decile9,part_imposes,nb_menages,nb_personnes,nb_uc,part_rev_activite,part_salaires,part_chomage,part_non_salaries,part_retraites,part_patrimoine,part_presta_sociales,part_presta_familiales,part_presta_logement,part_minima_sociaux,part_impots
57054,,24190,,,,,,77,169,117.9,,,,,,,,,,,
57055,,27210,,,,,,193,523,339.6,,,,,,,,,,,
57056,,26880,,,,,,81,179,126.5,,,,,,,,,,,
57057,,24480,,,,,,222,595,385.2,,,,,,,,,,,
57058,,15770,37,3,9130,27360,24,2353,5693,3815.7,54.9,47.5,5.3,2.1,34,3.8,16.2,4.4,3.8,8,-8.9
57060,,22630,,,,,,209,505,338.1,,,,,,,,,,,
57061,,23330,,,,,,467,968,698.4,,,,,,,,,,,
57062,,33540,,,,,,172,443,295.3,,,,,,,,,,,
57063,,21310,,,,,,97,224,154.9,,,,,,,,,,,
57064,,23550,,,,,,119,279,191.6,,,,,,,,,,,
57065,,21280,,,,,,85,217,144.2,,,,,,,,,,,
57066,,22040,,,,,,217,489,339,,,,,,,,,,,
57067,,30270,,3.2,16620,53890,52,1156,2925,1942.2,48.3,44.6,1.3,2.4,21.4,38.2,1.7,0.8,0.3,0.6,-9.6
57069,,24100,,,,,,194,451,312.7,,,,,,,,,,,
57070,,24810,,,,,,85,222,144.3,,,,,,,,,,,
57071,,24050,,,,,,165,401,269.6,,,,,,,,,,,
57072,,25530,,,,,,230,564,377,,,,,,,,,,,
57073,,24260,,,,,,363,843,578.7,,,,,,,,,,,
57074,,24580,,,,,,333,795,540,,,,,,,,,,,
57075,,27020,,,,,,111,295,190.5,,,,,,,,,,,
57076,,34150,,,,,,182,458,305.2,,,,,,,,,,,
57079,,24160,,,,,,173,439,292.9,,,,,,,,,,,
57081,,22940,,,,,,50,121,81.9,,,,,,,,,,,
57082,,25280,,,,,,137,327,222.6,,,,,,,,,,,
57083,,23000,,,,,,491,1128,777.3,,,,,,,,,,,
57084,,25080,,,,,,115,315,202.3,,,,,,,,,,,
57085,,23530,,,,,,154,390,258.6,,,,,,,,,,,
57086,,19720,,,,,,97,237,159.5,,,,,,,,,,,
57087,,24010,,,,,,103,218,156.7,,,,,,,,,,,
57088,,23640,,,,,,143,323,221.8,,,,,,,,,,,
57089,,19680,22,3.1,10970,34190,42,1812,4083,2811.4,63.9,57.1,3.2,3.6,33.8,7.3,7.7,2.6,1.6,3.5,-12.7
57090,,22940,,,,,,41,107,70.8,,,,,,,,,,,
57091,,24160,,,,,,401,889,624.8,,,,,,,,,,,
57092,,25780,,,,,,265,598,412.9,,,,,,,,,,,
57093,,27480,,,,,,270,630,433.6,,,,,,,,,,,
57095,,24590,,,,,,245,572,391,,,,,,,,,,,
57096,,25480,13,4,11810,47420,29,882,2210,1469.1,40.5,36,1.7,2.8,17.7,46.6,2.5,0.9,0.5,1.1,-7.3
