code_epci,gare_nat,gare_reg,gare_loc,points_gare
200068831,0,0,2,4
241200187,0,1,1,7
241200567,0,0,2,4
241200906,0,0,1,4
200069383,0,0,3,4
241200641,0,0,1,4
200067155,0,0,2,4
243000650,0,0,3,4
243000593,0,0,4,4
200066918,0,1,7,7
200034692,0,0,2,4
243000585,0,0,1,4
243000643,2,0,5,10
243000569,0,1,2,7
200068807,0,3,0,7
200071298,0,1,2,7
243100633,0,1,4,7
200068815,0,2,1,7
243100518,1,7,8,10
200034023,0,2,2,7
200066819,0,2,0,7
200034957,0,1,0,7
200068641,0,3,1,7
200072635,0,1,0,7
243100732,0,1,1,7
243100781,0,0,1,4
200072643,0,1,0,7
200073146,0,0,1,4
200042372,0,0,2,4
200066926,0,1,0,7
200023620,0,1,0,7
243400819,0,1,1,7
243400017,2,1,1,10
200042646,0,0,3,4
243400769,1,0,0,10
200066355,1,1,2,10
243400520,0,1,1,7
200071058,0,0,1,4
200017341,0,0,2,4
243400470,0,0,2,4
200066371,0,1,10,7
200023737,0,1,1,7
200035327,0,0,1,4
244600482,0,0,1,4
200069128,0,0,6,4
200069144,0,0,1,4
244800405,0,0,3,4
200069268,0,0,4,4
200006930,0,0,3,4
244800470,0,0,3,4
200069185,0,0,1,4
200070787,0,0,2,4
200069300,1,1,1,10
200070803,0,0,1,4
200043602,0,1,5,7
246600464,0,0,5,4
246600399,0,0,10,4
200049211,0,1,11,7
246600415,0,0,2,4
200027183,1,0,3,10
200070365,0,0,1,4
248100737,0,1,2,7
200040905,0,0,2,4
248100430,0,1,2,7
200066124,0,2,2,7
200034056,0,0,2,4
200034064,0,0,1,4
200066884,0,0,1,4
200066322,0,0,3,4
248200057,0,1,0,7
200066652,0,1,2,7
248200107,0,0,2,4
248200016,0,0,2,4
248200099,1,0,0,10
240100883,0,2,3,7
200042935,0,0,5,4
240100610,0,2,0,7
240100891,0,1,0,7
240100800,0,4,0,7
200071751,1,0,6,10
200070852,0,0,1,4
200070555,0,0,3,4
200040350,0,1,1,7
200069193,0,3,3,7
200029999,0,0,1,4
240100750,0,0,1,4
240300566,0,0,3,4
200071389,0,0,4,4
200071140,0,1,2,7
200071512,0,1,0,7
200071470,0,0,2,4
240300657,0,0,1,4
200071082,0,1,2,7
200071363,1,1,0,10
241500230,0,1,2,7
200066678,0,0,5,4
200066637,0,0,4,4
200066660,0,0,1,4
241501089,0,0,1,4
200068781,1,2,0,10
200040509,0,0,2,4
242600534,0,0,3,4
200042901,0,1,1,7
242600252,0,0,2,4
200040459,0,1,0,7
200040491,0,2,0,7
200073096,0,1,0,7
200068567,0,3,3,7
243800604,0,4,0,7
243801073,0,0,2,4
200077014,0,2,1,7
200030658,0,0,2,4
200040715,1,2,5,10
200018166,0,4,0,7
243800984,0,7,0,7
243800778,0,2,0,7
200070431,0,2,2,7
244200770,1,6,7,10
200065894,0,3,2,7
200065886,0,1,4,7
200035731,0,1,1,7
244200630,0,0,2,4
244301123,0,0,1,4
244301131,0,0,1,4
200073393,0,0,4,4
200073427,0,0,2,4
244301032,0,0,2,4
200073419,0,1,6,7
244301016,0,0,1,4
200071199,0,0,2,4
246300701,1,2,7,10
200070407,0,2,2,7
200072080,0,0,1,4
246301097,0,0,2,4
200069177,0,2,0,7
200070753,0,1,2,7
200070712,0,0,1,4
200067627,0,1,0,7
200046977,2,17,16,10
200040566,0,2,3,7
200040574,0,2,6,7
246900625,0,5,1,7
200067817,0,1,1,7
246900757,0,1,1,7
200040590,0,1,0,7
246900765,0,1,0,7
246900575,1,0,0,10
247300668,0,0,2,4
247300817,0,1,1,7
200068674,0,1,5,7
200068997,0,1,2,7
247300254,0,1,0,7
200069110,1,0,0,10
200041010,0,2,1,7
247300676,0,0,2,4
200070340,0,1,0,7
200023299,0,1,0,7
247300015,0,0,1,4
247300361,0,0,1,4
247300528,0,0,1,4
200070464,0,1,0,7
247300452,0,0,1,4
200066793,1,0,2,10
200011773,0,1,1,7
200000172,0,2,0,7
200067551,0,2,1,7
200023372,0,1,16,7
200033116,0,1,1,7
200071967,0,1,0,7
200034882,0,2,1,7
247400583,0,0,1,4
247400724,0,1,1,7
247400740,0,1,0,7
247400690,0,1,1,7
200068625,0,0,14,4
200034700,0,2,0,7
200067437,0,0,1,4
200068765,0,1,2,7
240500462,0,1,0,7
200067445,0,1,1,7
240500439,0,1,0,7
200067742,0,1,1,7
200067452,0,1,0,7
200067825,0,1,0,7
240600585,1,4,0,10
200030195,1,9,22,10
240600551,0,3,7,7
200039915,1,4,2,10
240600593,0,0,6,4
200039857,0,2,0,7
200039931,0,0,7,4
200054807,2,18,21,10
241300417,0,3,0,7
200035087,0,0,1,4
248300493,1,0,1,10
248300394,0,2,0,7
248300550,0,2,3,7
248300543,1,5,2,10
200027100,0,1,0,7
200035319,1,1,5,10
248300410,0,1,0,7
248400251,1,2,3,10
248400293,0,2,1,7
200000628,0,1,0,7
248400053,0,1,0,7
200040442,0,1,0,7
248400319,0,2,1,7
248400236,0,1,1,7
242010056,0,0,6,4
242000503,0,0,4,4
242020105,0,0,13,4
242000354,0,0,8,4
200073104,0,0,8,4
200036499,0,0,10,4
200073138,0,0,5,4
242020071,0,0,7,4
200073252,0,0,1,4
